phase,run_id,method,family,scenario,ratio,variant_id,dataset,holdout_ref,out_dir,data_status,config_digest,train_command,quality_command,rf_command
phase2a,phase2a__seqgan_master__boolean__A__R50,seqgan_master,boolean,A,50,,data/prepared/phase2a/boolean/A/attack_train.csv,data/prepared/splits/boolean_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/A/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/boolean/A/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/A/R50 --family boolean --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/boolean_holdout.csv --scenario A --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/A/R50/generated_payloads.csv --method seqgan_master --family boolean --scenario A --ratio 50 --train-ref data/prepared/phase2a/boolean/A/attack_train.csv --holdout-ref data/prepared/splits/boolean_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/A/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/boolean/A/attack_train.csv --attack-holdout data/prepared/splits/boolean_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/A/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/A/R50/rf_metrics.json
phase2a,phase2a__seqgan_master__boolean__B__R50,seqgan_master,boolean,B,50,,data/prepared/phase2a/boolean/B/attack_train.csv,data/prepared/splits/boolean_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/B/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/boolean/B/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/B/R50 --family boolean --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/boolean_holdout.csv --scenario B --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/B/R50/generated_payloads.csv --method seqgan_master --family boolean --scenario B --ratio 50 --train-ref data/prepared/phase2a/boolean/B/attack_train.csv --holdout-ref data/prepared/splits/boolean_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/B/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/boolean/B/attack_train.csv --attack-holdout data/prepared/splits/boolean_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/B/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/B/R50/rf_metrics.json
phase2a,phase2a__seqgan_master__boolean__C__R50,seqgan_master,boolean,C,50,,data/prepared/phase2a/boolean/C/attack_train.csv,data/prepared/splits/boolean_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/C/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/boolean/C/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/C/R50 --family boolean --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/boolean_holdout.csv --scenario C --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/C/R50/generated_payloads.csv --method seqgan_master --family boolean --scenario C --ratio 50 --train-ref data/prepared/phase2a/boolean/C/attack_train.csv --holdout-ref data/prepared/splits/boolean_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/C/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/boolean/C/attack_train.csv --attack-holdout data/prepared/splits/boolean_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/C/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/C/R50/rf_metrics.json
phase2a,phase2a__seqgan_master__boolean__D__R50,seqgan_master,boolean,D,50,,data/prepared/phase2a/boolean/D/attack_train.csv,data/prepared/splits/boolean_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/D/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/boolean/D/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/D/R50 --family boolean --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/boolean_holdout.csv --scenario D --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/D/R50/generated_payloads.csv --method seqgan_master --family boolean --scenario D --ratio 50 --train-ref data/prepared/phase2a/boolean/D/attack_train.csv --holdout-ref data/prepared/splits/boolean_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/D/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/boolean/D/attack_train.csv --attack-holdout data/prepared/splits/boolean_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/D/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/D/R50/rf_metrics.json
phase2a,phase2a__seqgan_master__boolean__E__R50,seqgan_master,boolean,E,50,,data/prepared/phase2a/boolean/E/attack_train.csv,data/prepared/splits/boolean_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/E/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/boolean/E/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/E/R50 --family boolean --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/boolean_holdout.csv --scenario E --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/E/R50/generated_payloads.csv --method seqgan_master --family boolean --scenario E --ratio 50 --train-ref data/prepared/phase2a/boolean/E/attack_train.csv --holdout-ref data/prepared/splits/boolean_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/E/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/boolean/E/attack_train.csv --attack-holdout data/prepared/splits/boolean_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/E/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/E/R50/rf_metrics.json
phase2a,phase2a__seqgan_master__boolean__F__R50,seqgan_master,boolean,F,50,,data/prepared/phase2a/boolean/F/attack_train.csv,data/prepared/splits/boolean_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/F/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/boolean/F/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/F/R50 --family boolean --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/boolean_holdout.csv --scenario F --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/F/R50/generated_payloads.csv --method seqgan_master --family boolean --scenario F --ratio 50 --train-ref data/prepared/phase2a/boolean/F/attack_train.csv --holdout-ref data/prepared/splits/boolean_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/F/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/boolean/F/attack_train.csv --attack-holdout data/prepared/splits/boolean_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/F/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/boolean/F/R50/rf_metrics.json
phase2a,phase2a__seqgan_master__error__A__R50,seqgan_master,error,A,50,,data/prepared/phase2a/error/A/attack_train.csv,data/prepared/splits/error_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/A/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/error/A/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/A/R50 --family error --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/error_holdout.csv --scenario A --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/A/R50/generated_payloads.csv --method seqgan_master --family error --scenario A --ratio 50 --train-ref data/prepared/phase2a/error/A/attack_train.csv --holdout-ref data/prepared/splits/error_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/A/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/error/A/attack_train.csv --attack-holdout data/prepared/splits/error_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/A/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/A/R50/rf_metrics.json
phase2a,phase2a__seqgan_master__error__B__R50,seqgan_master,error,B,50,,data/prepared/phase2a/error/B/attack_train.csv,data/prepared/splits/error_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/B/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/error/B/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/B/R50 --family error --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/error_holdout.csv --scenario B --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/B/R50/generated_payloads.csv --method seqgan_master --family error --scenario B --ratio 50 --train-ref data/prepared/phase2a/error/B/attack_train.csv --holdout-ref data/prepared/splits/error_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/B/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/error/B/attack_train.csv --attack-holdout data/prepared/splits/error_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/B/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/B/R50/rf_metrics.json
phase2a,phase2a__seqgan_master__error__C__R50,seqgan_master,error,C,50,,data/prepared/phase2a/error/C/attack_train.csv,data/prepared/splits/error_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/C/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/error/C/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/C/R50 --family error --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/error_holdout.csv --scenario C --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/C/R50/generated_payloads.csv --method seqgan_master --family error --scenario C --ratio 50 --train-ref data/prepared/phase2a/error/C/attack_train.csv --holdout-ref data/prepared/splits/error_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/C/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/error/C/attack_train.csv --attack-holdout data/prepared/splits/error_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/C/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/C/R50/rf_metrics.json
phase2a,phase2a__seqgan_master__error__D__R50,seqgan_master,error,D,50,,data/prepared/phase2a/error/D/attack_train.csv,data/prepared/splits/error_holdout.csv,/content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/D/R50,ready,a08ef824692030b5dc93422dcb2a74e650ba276872bc8fa1c38115b8ceca1720,/usr/bin/python3 scripts/run_pipeline.py --model seqgan_master -- --dataset data/prepared/phase2a/error/D/attack_train.csv --out-dir /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/D/R50 --family error --n-samples 200 --seed 88 --holdout-ref data/prepared/splits/error_holdout.csv --scenario D --phase phase2a --ratio 50 --sequence-length 20 --g-pretrain-epochs 15 --d-pretrain-steps 8 --d-pretrain-epochs 2 --adv-epochs 6 --g-steps 1 --d-steps 3 --d-epochs 1 --rollout-num 3,/usr/bin/python3 common/quality_metrics.py score --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/D/R50/generated_payloads.csv --method seqgan_master --family error --scenario D --ratio 50 --train-ref data/prepared/phase2a/error/D/attack_train.csv --holdout-ref data/prepared/splits/error_holdout.csv --seed 88 --requested-count 200 --generation-kind direct --self-bleu-sample-size 20 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/D/R50/quality_metrics.json,/usr/bin/python3 export/classifier_export/rf_eval.py --normal-train data/prepared/splits/normal_train.csv --normal-test data/prepared/splits/normal_test.csv --attack-train data/prepared/phase2a/error/D/attack_train.csv --attack-holdout data/prepared/splits/error_holdout.csv --generated /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/D/R50/generated_payloads.csv --seed 88 --n-estimators 30 --out /content/drive/MyDrive/GAN/GAN_SQLi_Colab/results_seqgan_only_mini/phase2a/seqgan_master/error/D/R50/rf_metrics.json
