label,payload,family,payload_type,method,run_id,sample_index
attack,1    )     and 863  ,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,0
attack,select pg_(   )     ,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,1
attack,"1""   )     aselenct ",time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,2
attack,1'    )     aenr yvl,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,3
attack,1'   )     or elench,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,4
attack,"1""   )     )     rli",time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,5
attack,1'    )     and  138,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,6
attack,selepnere elmbeelere,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,7
attack,1'    )      )     a,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,8
attack,1   )      )      ) ,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,9
attack,1    )     )      fr,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,10
attack,"1""    )     fr 8423 ",time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,11
attack,"1%""   )       )     ",time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,12
attack,1   )     )     anc5,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,13
attack,"1""  )    oor    (   ",time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,14
attack,1'   )       )     ),time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,15
attack,1 and  (    (  16  (,time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,16
attack,"1%""   )     )      )",time,time,seqgan_master,seqgan_master__final__time__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,17
