epoch,critic_loss,generator_loss
1,8.929541397094727,0.27462875843048096
2,7.289339351654053,0.7402961254119873
3,4.0807312488555905,1.4458754062652588
4,-0.19518523216247557,1.9703316688537598
5,-4.2160584926605225,2.6425156593322754
6,-6.798097133636475,2.9246726036071777
7,-7.877180194854736,3.2726964950561523
8,-8.254088211059571,3.0396223068237305
9,-8.291786289215088,3.3331525325775146
10,-8.34406623840332,2.4849066734313965
11,-8.216147136688232,1.274986982345581
12,-7.936287117004395,0.8613120317459106
13,-7.654450988769531,0.40363553166389465
14,-6.629549217224121,-0.7168208956718445
15,-6.060955142974853,-1.6211451292037964
16,-5.043577480316162,-3.5568997859954834
17,-3.838614320755005,-4.008904933929443
18,-3.1073834896087646,-5.0111260414123535
19,-2.5832438707351684,-5.575643539428711
20,-2.3857951164245605,-5.931917190551758
21,-2.3565555572509767,-5.818640232086182
22,-2.1927653908729554,-6.712234973907471
23,-2.151607847213745,-6.629016876220703
24,-1.8339774847030639,-6.381487846374512
25,-2.0091657638549805,-6.451930999755859
26,-2.1505614519119263,-5.684267520904541
27,-1.6662471890449524,-6.010396957397461
28,-1.5460020542144775,-5.458358287811279
29,-1.5081688165664673,-5.365320205688477
30,-1.572568142414093,-5.039526462554932
31,-1.3409432411193847,-4.899645805358887
32,-1.2796563029289245,-5.318310737609863
33,-1.3152658820152283,-4.713928699493408
34,-0.972456181049347,-5.775860786437988
35,-0.6792638033628464,-6.382547378540039
36,-0.27996888756752014,-6.832758903503418
37,-0.02223308980464935,-7.5143561363220215
38,0.15025891959667206,-7.812939643859863
39,0.35032896548509596,-8.297489166259766
40,0.3694536477327347,-9.063065528869629
41,0.06888990923762321,-8.999846458435059
42,-0.19562029242515563,-9.529711723327637
43,-0.5367861717939377,-9.289830207824707
44,-1.190073710680008,-8.620953559875488
45,-1.477723205089569,-8.856342315673828
46,-1.5039996743202209,-9.1548433303833
47,-1.5306135535240173,-8.590757369995117
48,-1.1513113379478455,-9.148723602294922
49,-0.9303341984748841,-8.475354194641113
50,-0.5363522194325924,-8.679516792297363
51,-0.6064805060625076,-9.072447776794434
52,-0.41390793994069097,-8.80301284790039
53,-0.21107138693332672,-9.513607025146484
54,-0.5581949584186077,-8.93501091003418
55,-0.5612556982785464,-7.726129531860352
56,-0.6401840798556805,-6.995202541351318
57,-0.9416102409362793,-6.714563369750977
58,-1.3630019068717956,-5.804719924926758
59,-1.2077420756220818,-5.422291278839111
60,-1.2271373271942139,-4.898076057434082
61,-1.4944323778152466,-4.135213375091553
62,-0.9205436915159225,-4.800710678100586
63,-0.9610066264867783,-4.534668445587158
64,-0.6042835175991058,-4.677957057952881
65,-0.7837609231472016,-5.678790092468262
66,-0.9012621402740478,-5.468883037567139
67,-1.280649084597826,-5.856020450592041
68,-1.7876120805740356,-5.792520523071289
69,-1.9862149477005004,-5.476069450378418
70,-2.094248902797699,-6.291475296020508
71,-2.4115872383117676,-7.069620132446289
72,-2.358055901527405,-6.814166069030762
73,-2.143767976760864,-6.529420852661133
74,-1.9332411527633666,-7.424771785736084
75,-1.7954633057117462,-7.822727203369141
76,-1.4481573939323424,-7.673120021820068
77,-1.071853220462799,-8.496356964111328
78,-0.862089267373085,-8.236926078796387
79,-0.9784959644079209,-9.070978164672852
80,-1.1239554107189178,-8.96767807006836
81,-1.2925316154956819,-7.9687180519104
82,-1.7042473316192628,-6.9821391105651855
83,-2.2615059852600097,-6.222705841064453
84,-2.6053754091262817,-5.749363899230957
85,-2.7982624053955076,-5.091426849365234
86,-2.9936943531036375,-4.756656646728516
87,-2.59295711517334,-2.958451747894287
88,-2.484127998352051,-2.2091245651245117
89,-2.3132445096969603,-1.4215826988220215
90,-1.61022709608078,-1.268112063407898
91,-1.224182367324829,-1.2942216396331787
92,-0.9966466784477234,0.02402724325656891
93,-0.7403461456298828,-0.44037339091300964
94,-0.9397905930876732,-0.48584792017936707
95,-1.275643527507782,0.21098366379737854
96,-1.503168785572052,0.6854999661445618
97,-1.4044297456741333,0.9326029419898987
98,-2.030364918708801,-0.03797673061490059
99,-2.115837574005127,-0.9786438941955566
100,-1.8317674398422241,-1.2125577926635742
101,-2.1051711320877073,-1.854461669921875
102,-2.0363001704216,-3.8760626316070557
103,-2.072221040725708,-4.8231658935546875
104,-1.817739236354828,-5.854526996612549
105,-1.4247783303260804,-6.991694450378418
