epoch,critic_loss,generator_loss
1,8.929541397094727,0.27462875843048096
2,7.289339351654053,0.7402961254119873
3,4.0807312488555905,1.4458754062652588
4,-0.19518523216247557,1.9703316688537598
5,-4.2160584926605225,2.6425156593322754
6,-6.798097133636475,2.9246726036071777
7,-7.877180194854736,3.2726964950561523
8,-8.254088211059571,3.0396223068237305
9,-8.291786289215088,3.3331525325775146
10,-8.34406623840332,2.4849066734313965
11,-8.216147136688232,1.274986982345581
12,-7.936287117004395,0.8613120317459106
13,-7.654450988769531,0.40363553166389465
14,-6.629549217224121,-0.7168208956718445
15,-6.060955142974853,-1.6211451292037964
16,-5.043577480316162,-3.5568997859954834
17,-3.838614320755005,-4.008904933929443
18,-3.1073834896087646,-5.0111260414123535
19,-2.5832438707351684,-5.575643539428711
20,-2.3857951164245605,-5.931917190551758
21,-2.3565555572509767,-5.818640232086182
22,-2.1927653908729554,-6.712234973907471
23,-2.151607847213745,-6.629016876220703
24,-1.8339774847030639,-6.381487846374512
25,-2.0091657638549805,-6.451930999755859
