relative_path,extension,size_bytes,reason
_provenance/source_definitions/GAN_SQLi_Colab_Phase2B_Phase3_SeqGAN_GPU.ipynb,.ipynb,41440,"Jupyter source notebook; excluded because this package retains reports/data, not source code"
_provenance/source_definitions/GAN_SQLi_Colab_SeqGAN_Improved_refinement_allR_GPU.ipynb,.ipynb,5893430,"Jupyter source notebook; excluded because this package retains reports/data, not source code"
_provenance/source_definitions/GAN_SQLi_Colab_rerun_13_batch6x_DRIVE_CHECKPOINT.ipynb,.ipynb,40557,"Jupyter source notebook; excluded because this package retains reports/data, not source code"
final_full/baselines/ctgan/boolean/D/R100/BASE/critic.pt,.pt,1701577,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/D/R100/BASE/generator.pt,.pt,947147,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/D/R200/BASE/critic.pt,.pt,1568457,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/D/R200/BASE/generator.pt,.pt,913867,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/D/R500/BASE/critic.pt,.pt,1496777,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/D/R500/BASE/generator.pt,.pt,895947,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/E/R100/BASE/critic.pt,.pt,1752777,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/E/R100/BASE/generator.pt,.pt,959947,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/E/R200/BASE/critic.pt,.pt,1599177,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/E/R200/BASE/generator.pt,.pt,921547,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/E/R500/BASE/critic.pt,.pt,1486537,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/boolean/E/R500/BASE/generator.pt,.pt,893387,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/error/B/R100/BASE/critic.pt,.pt,1681097,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/error/B/R100/BASE/generator.pt,.pt,942027,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/error/B/R200/BASE/critic.pt,.pt,1568457,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/error/B/R200/BASE/generator.pt,.pt,913867,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/error/B/R500/BASE/critic.pt,.pt,1343177,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/error/B/R500/BASE/generator.pt,.pt,857547,PyTorch model/checkpoint binary; excluded from information-only package
final_full/baselines/ctgan/error/D/R100/BASE/critic.pt,.pt,1732297,PyTorch model/checkpoint binary; excluded from information-only package
