elapsed_seconds,allowed_concurrency,running,pending,cpu_percent,ram_percent,gpu_util_percent,gpu_memory_percent,gpu_memory_used_mb,gpu_memory_total_mb
0.0,1,0,24,10.0,3.6,0.0,0.013024225058609012,3.0,23034.0
15.6,1,1,23,8.3,6.0,93.0,1.9449509420856126,448.0,23034.0
30.9,1,1,23,8.3,6.0,94.0,1.9449509420856126,448.0,23034.0
46.2,2,1,23,8.3,6.1,93.0,1.9449509420856126,448.0,23034.0
61.7,2,2,22,17.8,6.1,61.0,1.9449509420856126,448.0,23034.0
77.0,2,1,22,8.3,6.0,100.0,1.9449509420856126,448.0,23034.0
92.6,3,2,21,17.3,8.4,100.0,3.855170617348268,888.0,23034.0
108.2,3,3,20,26.5,10.7,100.0,5.761048884258053,1327.0,23034.0
123.5,3,3,20,25.7,10.7,100.0,5.761048884258053,1327.0,23034.0
138.8,4,3,20,25.3,8.3,100.0,3.855170617348268,888.0,23034.0
154.4,4,3,19,25.3,10.8,100.0,5.787097334375272,1333.0,23034.0
169.9,4,4,18,34.4,13.3,100.0,7.7190240514022745,1778.0,23034.0
185.2,5,4,18,33.7,13.3,100.0,7.7190240514022745,1778.0,23034.0
200.8,5,5,17,42.7,15.7,100.0,9.62490231831206,2217.0,23034.0
216.1,5,5,17,53.0,15.6,100.0,9.62490231831206,2217.0,23034.0
231.4,6,5,17,33.3,13.2,100.0,7.701658417990796,1774.0,23034.0
247.0,6,5,16,42.1,15.5,100.0,9.616219501606322,2215.0,23034.0
262.6,6,6,15,50.2,15.8,100.0,9.62490231831206,2217.0,23034.0
277.9,7,6,15,41.7,15.5,100.0,9.62490231831206,2217.0,23034.0
293.5,7,6,14,50.3,17.9,100.0,11.548146218633324,2660.0,23034.0
309.0,7,7,13,67.7,20.3,100.0,13.46270730224885,3101.0,23034.0
324.3,8,7,13,68.2,20.5,100.0,13.514804202483285,3113.0,23034.0
339.9,8,8,12,75.0,22.8,100.0,15.420682469393071,3552.0,23034.0
355.2,8,8,12,75.3,22.8,100.0,15.420682469393071,3552.0,23034.0
