thesis_table_id,title,source_scope,run_count,primary_artifacts,canonical_fields,status,notes
Bảng 3.1,Quy mô dữ liệu trước và sau tiền xử lý,dataset snapshot,,data/prepared/dataset_manifest.json,parse.*;split_counts,verified,Khớp 30.920 dòng gốc và 30.813 dòng giữ lại
Bảng 3.2,Phân bố dữ liệu tấn công theo từng họ SQL Injection,dataset snapshot,,data/prepared/dataset_manifest.json,family_counts;split_counts,verified,Other được bảo toàn nhưng không là họ trọng tâm
Bảng 3.3,Môi trường huấn luyện và các thư viện chính,execution metadata,489,training_metadata.json;run_manifest.json,environment;seed,verified_with_version_variation,Bảng mô tả môi trường đại diện; từng run giữ metadata riêng
Bảng 3.4,Cấu hình môi trường ModSecurity và OWASP CRS,WAF full campaign,,docker/**;waf_summary.json,target_url;blocked_statuses;methods,verified,Backend chỉ là echo service và không có DBMS
Bảng 3.5,Quy mô các giai đoạn thực nghiệm,all campaigns,489,final_result_info/_index/summary.json;run_index.csv,total_runs;campaign_run_counts,verified,Tổng 413.700 payload
Bảng 3.6,Một số kết quả dùng để hiệu chỉnh cách đọc chỉ số ở Giai đoạn 1,phase1_survey,4,quality_metrics.json;generated_payloads.csv,sql_structure_rate;garbage_rate;unique_rate;exact_input_overlap,verified,Ngân sách đầu ra không đồng nhất nên không dùng xếp hạng
Bảng 3.7,Sáu kịch bản lựa chọn dữ liệu trong Giai đoạn 2A,phase2a_scenario_search,96,common/ingestion.py;configs/experiment_config.yaml,scenario A-F,verified,Định nghĩa quy tắc lựa chọn
Bảng 3.8,Hai kịch bản được giữ lại cho từng họ sau Giai đoạn 2A,phase2a_scenario_search,96,final_result_info/_provenance/decision_artifacts/phase2a_top2_scenarios_operational.csv,family;scenario;rank,verified,Artifact quyết định lịch sử được giữ nguyên
Bảng 3.9,Quy mô thực tế của khảo sát tỷ lệ trong Giai đoạn 2B,phase2b_ratio_search_medium,196,run_index.csv,ratio;status,verified,R10 và R20 thiếu ô; R100 R200 R500 đủ 32 lượt
Bảng 3.10,Thông số cấu hình thực nghiệm trung bình của từng mô hình,medium profiles,356,training_metadata.json;configs/experiment_config.yaml,epochs;batch_size;sequence_length;rollout,verified,Không dùng như cấu hình đầy đủ
Bảng 3.11,Cấu hình tám biến thể SeqGAN trong Giai đoạn 3,phase3_seqgan_improved_test_medium,64,data/prepared/seqgan_variants.csv;training_metadata.json,variant;tokenizer;max_length;g_pretrain;sql_reward,verified,Bốn trục khảo sát; lịch D giữ nguyên
Bảng 3.12,Mười một tổ hợp mục tiêu sau Giai đoạn 3,phase3 selection,11,final_result_info/_provenance/decision_artifacts/phase3_retained_combinations_thesis.csv,family;scenario;variant;selection_role,verified_canonical_sidecar,Không dùng phase3_selected_variant_PLACEHOLDER.json làm bằng chứng lựa chọn
Bảng 3.13,Chuỗi quyết định lựa chọn thông số qua các giai đoạn thực nghiệm,all campaigns,489,run_index.csv;decision_artifacts/**,campaign;method;family;scenario;ratio;variant,verified_with_historical_aliases,Ưu tiên run_index khi phase lịch sử mâu thuẫn campaign
Bảng 3.14,Tổng hợp các lựa chọn cho đánh giá đầy đủ và dữ kiện làm căn cứ,final_full scope,129,run_index.csv;phase3_retained_combinations_thesis.csv,method;scenario;ratio;variant,verified,96 baseline và 33 SeqGAN cải tiến
Bảng 3.15,Kết quả đầy đủ của bốn phương pháp cơ sở,final_full/baselines,96,quality_metrics.json;rf_metrics.json,sql_structure_rate;normalized_unique_rate;exact_input_overlap;delta_attack_recall,verified,Cột Mẫu duy nhất dùng normalized_unique_rate; SMOTE Vanilla GAN CTGAN là đầu ra truy hồi
Bảng 3.16,Kết quả SeqGAN cải tiến theo ba tỷ lệ,final_full/seqgan_improved_refinement,33,quality_metrics.json;rf_metrics.json,sql_structure_rate;garbage_rate;normalized_unique_rate;delta_attack_recall,verified,Cột Mẫu duy nhất dùng normalized_unique_rate; tổng hợp theo R100 R200 R500
Bảng 3.17,Kết quả trung bình của mười một cấu hình SeqGAN cải tiến,final_full/seqgan_improved_refinement,33,quality_metrics.json;rf_metrics.json,sql_structure_rate;normalized_unique_rate;normalized_dominant_payload_share;delta_attack_recall,verified,Các cột duy nhất và chiếm ưu thế đều dùng chỉ số sau chuẩn hóa
Bảng 3.18,Tác động của dữ liệu bổ sung lên Random Forest,final_full scope,129,rf_metrics.json,delta_attack_recall;macro_f1;balanced_accuracy;pr_auc,verified,Cùng tập kiểm tra độc lập
Bảng 3.19,Quy mô chiến dịch kiểm thử WAF,full WAF campaign,489,waf_summary.json;waf_summary_canonical.json;thesis_waf_tables_canonical.json,eligible_request_count;blocked_request_count;not_blocked_request_count;not_sent_too_long_count,verified,413.700 payload; 827.400 probe; 825.899 hợp lệ; 1.501 không gửi
Bảng 3.20,Kết quả WAF ở giai đoạn đánh giá đầy đủ,final_full subset,129,thesis_waf_tables_canonical.json;run_quality_waf_correlation.csv;thesis_run_traceability.csv,eligible_requests;blocked_requests;not_blocked_requests;waf_not_blocked_rate,verified,Chỉ 96 baseline và 33 SeqGAN cải tiến
Bảng 3.21,Kết quả SeqGAN cải tiến theo từng họ,final_full/seqgan_improved_refinement,33,thesis_waf_tables_canonical.json;run_quality_waf_correlation.csv;quality_metrics.json,sql_structure_rate;normalized_unique_rate;waf_not_blocked_rate,verified,Cột Mẫu duy nhất dùng normalized_unique_rate; đọc đồng thời cấu trúc tính duy nhất và phản ứng WAF
