campaign,run_key,role,relative_path,source_path,size_bytes,sha256,verified
_global,,source_definition,_provenance/source_definitions/GAN_SQLi_Colab_Phase2B_Phase3_SeqGAN_GPU.ipynb,H:\My Drive\GAN\GAN_for_SQLi\GAN_SQLi_Colab_Phase2B_Phase3_SeqGAN_GPU.ipynb,41440,c0f480d8def76ee667f3a421346dbdb595110ba0f58291e596961f06be789faf,True
_global,,source_definition,_provenance/source_definitions/GAN_SQLi_Colab_SeqGAN_Improved_refinement_allR_GPU.ipynb,H:\My Drive\GAN\GAN_for_SQLi\GAN_SQLi_Colab_SeqGAN_Improved_refinement_allR_GPU.ipynb,5893430,3d6e5642bdb77265e197abf1b0ab0592aa551cad067a754d230f88a2f5c16e2b,True
_global,,source_definition,_provenance/source_definitions/GAN_SQLi_Colab_rerun_13_batch6x_DRIVE_CHECKPOINT.ipynb,H:\My Drive\GAN\GAN_for_SQLi\GAN_SQLi_Colab_rerun_13_batch6x_DRIVE_CHECKPOINT.ipynb,40557,175ddd36d8319c691a53bc6cc5fe8255196e2ebe75f03f87310c1bd6e759eff2,True
_global,,source_definition,_provenance/source_definitions/README.md,H:\My Drive\GAN\GAN_for_SQLi\README.md,27577,564a59731e7ca7e68295a540cecc57034a9f5ce21361f6acef916b6844410565,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/critic.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\critic.pt,1701577,b6f68d47e5511f2e1b4baef44bbe0d0fcf3b54d83e1ac9a08f019c971b7caeae,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/generated_feature_vectors.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\generated_feature_vectors.csv,451432,034f1a06bc732f6636e43261053323d9d69881b2b722d7f7b9f99751299e7e56,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/generated_payloads.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\generated_payloads.csv,392518,d00ba2008765ce5297bcb6d476426e4bcf78ea048f9e61193f321ef75cb443af,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/generated_payloads.txt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\generated_payloads.txt,229200,bfd8475fc8ea97400fa3e22a4688bb55e00e16a8b2837f4943825e97392100b2,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/generator.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\generator.pt,947147,4df91a7bb2adb444ee26dc0994663f6bd988b3b16c7f17560fd54a8445f99f35,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/logs/quality.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\logs\quality.log,2718,2c994cfde7d66280f84e65f80ef7e59a9ae064d7734081691e29bfdabe549662,True
