thesis_table_ids,run_key,run_id,campaign,method_id,method_display_vi,family,scenario,ratio,variant,execution_profile,status,destination,config_path,config_sha256,dataset_path,dataset_sha256,holdout_path,holdout_sha256,run_manifest_path,run_manifest_sha256,training_metadata_path,training_metadata_sha256,generated_payloads_path,generated_payloads_sha256,quality_metrics_path,quality_metrics_sha256,rf_metrics_path,rf_metrics_sha256,waf_source_row_start_inclusive,waf_source_row_end_exclusive,waf_source_row_count,empty_payload_count,waf_source_csv_sha256,waf_probe_join_rule
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|boolean|D|R100|BASE,final__ctgan__boolean__D__R100,final_full/baselines,ctgan,CTGAN,boolean,D,100,BASE,full,completed,final_full/baselines/ctgan/boolean/D/R100/BASE,/content/colab_configs/experiment_refinement_baseline_R100.yaml,b1129ad281f515e9b2630a2410b208536dd16d0d184825edfaa60a11f3e1933c,data/prepared/frozen/boolean/D/attack_train.csv,cda478e9addef535adde453b0f8bd24792de2acd752f21edaa85680fecf7e203,data/prepared/splits/boolean_holdout.csv,f5e852eff35e7e3320fa2224148e98c5e19fc1af59842890484e2c3f69e603db,final_result_info/final_full/baselines/ctgan/boolean/D/R100/BASE/run_manifest.json,bb7865c59955e2e809037007cd524bbca0de57a8f35d647918e5f042f9e78ed7,final_result_info/final_full/baselines/ctgan/boolean/D/R100/BASE/training_metadata.json,b6a4581fff1863ac669f2f8fb03d13d85678f5b58d3b7e81a799db0316774c3f,final_result_info/final_full/baselines/ctgan/boolean/D/R100/BASE/generated_payloads.csv,d00ba2008765ce5297bcb6d476426e4bcf78ea048f9e61193f321ef75cb443af,final_result_info/final_full/baselines/ctgan/boolean/D/R100/BASE/quality_metrics.json,2e02fe2abc6dba49c14d9ad2b843cd09969166f4fee082440a6716915937df4d,final_result_info/final_full/baselines/ctgan/boolean/D/R100/BASE/rf_metrics.json,93dd8949a54681a218f09b998f9a3b17ea88253d3aebd00b0cb4c34a022a1b0f,0,2000,2000,0,d00ba2008765ce5297bcb6d476426e4bcf78ea048f9e61193f321ef75cb443af,source_row >= 0 and source_row < 2000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|boolean|D|R200|BASE,final__ctgan__boolean__D__R200,final_full/baselines,ctgan,CTGAN,boolean,D,200,BASE,full,completed,final_full/baselines/ctgan/boolean/D/R200/BASE,/content/colab_configs/experiment_refinement_baseline_R200.yaml,0d05cb49fe290a887ad86c92a0eae7ff87bafb353c1169d2eb3279077d1826cf,data/prepared/frozen/boolean/D/attack_train.csv,fec7a3dc73b4f9b0a3d8c87c2a5b670bfca4c425c591bfc24455f1a3b5fd6323,data/prepared/splits/boolean_holdout.csv,f5e852eff35e7e3320fa2224148e98c5e19fc1af59842890484e2c3f69e603db,final_result_info/final_full/baselines/ctgan/boolean/D/R200/BASE/run_manifest.json,0e9f73dcb612dce61c874b988395f761df957de9ae42a6eb6e4c5f61e2b6c7c5,final_result_info/final_full/baselines/ctgan/boolean/D/R200/BASE/training_metadata.json,62ae8e7514f7e8ee757ac8035f9aa9d4a12db5cc322a88286e6b97fa78dddeef,final_result_info/final_full/baselines/ctgan/boolean/D/R200/BASE/generated_payloads.csv,c2b68d62140223091de46d89d5b3f031210672e608b5ac5135193e4e7f2e09b2,final_result_info/final_full/baselines/ctgan/boolean/D/R200/BASE/quality_metrics.json,aec1c02f38675fc3b093849178fdc92335f2f81ba1134d2b5b52e8945289a28f,final_result_info/final_full/baselines/ctgan/boolean/D/R200/BASE/rf_metrics.json,c5afde8e5cb879196e8070282d9e15836afca4e886dd527e5da393659cd4a2fc,2000,4000,2000,0,c2b68d62140223091de46d89d5b3f031210672e608b5ac5135193e4e7f2e09b2,source_row >= 2000 and source_row < 4000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|boolean|D|R500|BASE,final__ctgan__boolean__D__R500,final_full/baselines,ctgan,CTGAN,boolean,D,500,BASE,full,completed,final_full/baselines/ctgan/boolean/D/R500/BASE,/content/colab_configs/experiment_refinement_baseline_R500.yaml,c6cd9e42239d1a81157b90035f6bbba03e629c1d283136f2e114415e2c591523,data/prepared/frozen/boolean/D/attack_train.csv,579fb961d2c0161b97c55376f9fd58d38b3cfa78cb46ad3c20f0405e3f278350,data/prepared/splits/boolean_holdout.csv,f5e852eff35e7e3320fa2224148e98c5e19fc1af59842890484e2c3f69e603db,final_result_info/final_full/baselines/ctgan/boolean/D/R500/BASE/run_manifest.json,56038bbd017d43f20acb54a1ac7fc7cf323b20756c5dd3a9d7be1b449c9f83ab,final_result_info/final_full/baselines/ctgan/boolean/D/R500/BASE/training_metadata.json,1f0ff40d1e96eb250c16e54d088bf5f7bfb342edbc2788a8c486dbc5f44c0e66,final_result_info/final_full/baselines/ctgan/boolean/D/R500/BASE/generated_payloads.csv,479c6ee93b349df38cf2dc93ddd86e0fd7d436f2991bd7eaacbb52360b4db827,final_result_info/final_full/baselines/ctgan/boolean/D/R500/BASE/quality_metrics.json,2c6ea93e8afb1901d074f6bf8ac35a48ceaf8502fdfc33c90dfad653ff00468b,final_result_info/final_full/baselines/ctgan/boolean/D/R500/BASE/rf_metrics.json,762a5d989feecd23cc08ba22af75d679652ddb6752d5d122597046f063f0b169,4000,6000,2000,0,479c6ee93b349df38cf2dc93ddd86e0fd7d436f2991bd7eaacbb52360b4db827,source_row >= 4000 and source_row < 6000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|boolean|E|R100|BASE,final__ctgan__boolean__E__R100,final_full/baselines,ctgan,CTGAN,boolean,E,100,BASE,full,completed,final_full/baselines/ctgan/boolean/E/R100/BASE,/content/colab_configs/experiment_refinement_baseline_R100.yaml,b1129ad281f515e9b2630a2410b208536dd16d0d184825edfaa60a11f3e1933c,data/prepared/frozen/boolean/E/attack_train.csv,e937e31e5ab6af77d32ff09675c99371db2d8fb0b034486fe1935da5a5562f2d,data/prepared/splits/boolean_holdout.csv,f5e852eff35e7e3320fa2224148e98c5e19fc1af59842890484e2c3f69e603db,final_result_info/final_full/baselines/ctgan/boolean/E/R100/BASE/run_manifest.json,e872ee51f2df9aa014efd62621ad13795f41d735e223d99b1b78ddd5782cdfa9,final_result_info/final_full/baselines/ctgan/boolean/E/R100/BASE/training_metadata.json,4c3d4c229017107187bb08621e7cb7f4426fecdbf115947aee2d83b33f5db8f1,final_result_info/final_full/baselines/ctgan/boolean/E/R100/BASE/generated_payloads.csv,9894eae27643d9f54d4fce691d7af638784d67a6b814d484e90e19a09cd6784c,final_result_info/final_full/baselines/ctgan/boolean/E/R100/BASE/quality_metrics.json,709b99d71908c9030a9c2adb4fc0531d117f324aa5217010461b67fd8d66f4f4,final_result_info/final_full/baselines/ctgan/boolean/E/R100/BASE/rf_metrics.json,9db9f5f197322c217206e0bdada99acd3d1b839a9c332faa39006c4c02822796,6000,8000,2000,0,9894eae27643d9f54d4fce691d7af638784d67a6b814d484e90e19a09cd6784c,source_row >= 6000 and source_row < 8000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|boolean|E|R200|BASE,final__ctgan__boolean__E__R200,final_full/baselines,ctgan,CTGAN,boolean,E,200,BASE,full,completed,final_full/baselines/ctgan/boolean/E/R200/BASE,/content/colab_configs/experiment_refinement_baseline_R200.yaml,0d05cb49fe290a887ad86c92a0eae7ff87bafb353c1169d2eb3279077d1826cf,data/prepared/frozen/boolean/E/attack_train.csv,98461a3edc5e249c8d0c415d677cab944ee339576ba8512423bef1417f01c47b,data/prepared/splits/boolean_holdout.csv,f5e852eff35e7e3320fa2224148e98c5e19fc1af59842890484e2c3f69e603db,final_result_info/final_full/baselines/ctgan/boolean/E/R200/BASE/run_manifest.json,d2463f2ebf446ea9a59abfea24016a84e8a0377787f304f29c910db3e598602b,final_result_info/final_full/baselines/ctgan/boolean/E/R200/BASE/training_metadata.json,1995b9ff22954b61399d96f2521d15069ba1aa5b166c7efc48043279c9915b51,final_result_info/final_full/baselines/ctgan/boolean/E/R200/BASE/generated_payloads.csv,a6a4b04b5f6376148d6d13dbfa4c53bec70b7377da5e3908f731c6f4aa7c345b,final_result_info/final_full/baselines/ctgan/boolean/E/R200/BASE/quality_metrics.json,dcefcdb6b55ed8c590549ce0473694a14bebbe82ce3067d76c61728843afbaf8,final_result_info/final_full/baselines/ctgan/boolean/E/R200/BASE/rf_metrics.json,8dfc8139483d02eb907541b9ba0006163fc5e4e4be409285b1a203ebd3115718,8000,10000,2000,0,a6a4b04b5f6376148d6d13dbfa4c53bec70b7377da5e3908f731c6f4aa7c345b,source_row >= 8000 and source_row < 10000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|boolean|E|R500|BASE,final__ctgan__boolean__E__R500,final_full/baselines,ctgan,CTGAN,boolean,E,500,BASE,full,completed,final_full/baselines/ctgan/boolean/E/R500/BASE,/content/colab_configs/experiment_refinement_baseline_R500.yaml,c6cd9e42239d1a81157b90035f6bbba03e629c1d283136f2e114415e2c591523,data/prepared/frozen/boolean/E/attack_train.csv,9bf252ade2b2c36e000c52a6ddb6d8cca656e7cad51d590845821c2f824173a2,data/prepared/splits/boolean_holdout.csv,f5e852eff35e7e3320fa2224148e98c5e19fc1af59842890484e2c3f69e603db,final_result_info/final_full/baselines/ctgan/boolean/E/R500/BASE/run_manifest.json,d910ad0b1695d229a30ce46b075bad6ffc54f21092bd85931e893c6d53d4cf54,final_result_info/final_full/baselines/ctgan/boolean/E/R500/BASE/training_metadata.json,a13b4a10c6d6a7f92f1ae4bc5a3846867e8a6a6852980903f69406b6fdcd52eb,final_result_info/final_full/baselines/ctgan/boolean/E/R500/BASE/generated_payloads.csv,723f1a2413fecfe58af208549ac991f0277164d8f08bcfadff587993c1793747,final_result_info/final_full/baselines/ctgan/boolean/E/R500/BASE/quality_metrics.json,aa306cb102efba7de1f429ec52f0c4f8a4eda15a46c3445c1f99ac437576dd92,final_result_info/final_full/baselines/ctgan/boolean/E/R500/BASE/rf_metrics.json,fc5361cce1b450ebde7a7999c5df66e6966955d5a96f62ae3ca20749293183fc,10000,12000,2000,0,723f1a2413fecfe58af208549ac991f0277164d8f08bcfadff587993c1793747,source_row >= 10000 and source_row < 12000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|error|B|R100|BASE,final__ctgan__error__B__R100,final_full/baselines,ctgan,CTGAN,error,B,100,BASE,full,completed,final_full/baselines/ctgan/error/B/R100/BASE,/content/colab_configs/experiment_refinement_baseline_R100.yaml,b1129ad281f515e9b2630a2410b208536dd16d0d184825edfaa60a11f3e1933c,data/prepared/frozen/error/B/attack_train.csv,a0937b91e133ae0fad70d8dd6f35ac1014e57cfc72a6ac69b94709a715631d40,data/prepared/splits/error_holdout.csv,9a8a6ae49976f90ff02ac0c6a1897983a2897dbfcf5f62742a19410b783d5cbf,final_result_info/final_full/baselines/ctgan/error/B/R100/BASE/run_manifest.json,afc92b34d8378d478b5d809af660cda1213ead306d3d9a24b48205418cfd3ab8,final_result_info/final_full/baselines/ctgan/error/B/R100/BASE/training_metadata.json,4672b3e42ee5918d2d6d3588f4e54715ebfafe79952bc353a7dc74e747615bc4,final_result_info/final_full/baselines/ctgan/error/B/R100/BASE/generated_payloads.csv,4fa5f15f083b0dae2058bb301527807f9c3bb7597b6e4b0e16d06f0ee840612c,final_result_info/final_full/baselines/ctgan/error/B/R100/BASE/quality_metrics.json,ee275a30306d11b517ef85d0f5744d38ff1a9b822c36e433ba2b748e3dc9cb71,final_result_info/final_full/baselines/ctgan/error/B/R100/BASE/rf_metrics.json,f44c3ee8af017f1d78b16698109c327ca946b0742f0677bbecd56adcb416a618,12000,14000,2000,0,4fa5f15f083b0dae2058bb301527807f9c3bb7597b6e4b0e16d06f0ee840612c,source_row >= 12000 and source_row < 14000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|error|B|R200|BASE,final__ctgan__error__B__R200,final_full/baselines,ctgan,CTGAN,error,B,200,BASE,full,completed,final_full/baselines/ctgan/error/B/R200/BASE,/content/colab_configs/experiment_refinement_baseline_R200.yaml,0d05cb49fe290a887ad86c92a0eae7ff87bafb353c1169d2eb3279077d1826cf,data/prepared/frozen/error/B/attack_train.csv,59daff6c2689a0ce5550718468bb8c79273db30dd6ab51e6e23f5d48062c7bc2,data/prepared/splits/error_holdout.csv,9a8a6ae49976f90ff02ac0c6a1897983a2897dbfcf5f62742a19410b783d5cbf,final_result_info/final_full/baselines/ctgan/error/B/R200/BASE/run_manifest.json,2d0345af13bb2c67bc93b16547d9c703bf86f16403b9f4b5b6d8ef02ba089ef6,final_result_info/final_full/baselines/ctgan/error/B/R200/BASE/training_metadata.json,0383eeeaa6de0f185d9eb1aa71f103e75841d77e6e79b82716bc865004f9dcdc,final_result_info/final_full/baselines/ctgan/error/B/R200/BASE/generated_payloads.csv,2a94b858d2682099566d5923546b6a20c95bb837a79f1d855e5add875f6ba53f,final_result_info/final_full/baselines/ctgan/error/B/R200/BASE/quality_metrics.json,81b6b0dd8d3fee0752c08073401ac8f19190bfdf75c90e0419b130ef8e05bb50,final_result_info/final_full/baselines/ctgan/error/B/R200/BASE/rf_metrics.json,18adfa2986d158d702a4fcb306d40b73d0881e1a74acc8249ee1c607e58066b7,14000,16000,2000,0,2a94b858d2682099566d5923546b6a20c95bb837a79f1d855e5add875f6ba53f,source_row >= 14000 and source_row < 16000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|error|B|R500|BASE,final__ctgan__error__B__R500,final_full/baselines,ctgan,CTGAN,error,B,500,BASE,full,completed,final_full/baselines/ctgan/error/B/R500/BASE,/content/colab_configs/experiment_refinement_baseline_R500.yaml,c6cd9e42239d1a81157b90035f6bbba03e629c1d283136f2e114415e2c591523,data/prepared/frozen/error/B/attack_train.csv,8a1f98d39a9c8322a59ba2ebe5e689d9e0eb6a4518dd2eccf8e886d5f8df37bb,data/prepared/splits/error_holdout.csv,9a8a6ae49976f90ff02ac0c6a1897983a2897dbfcf5f62742a19410b783d5cbf,final_result_info/final_full/baselines/ctgan/error/B/R500/BASE/run_manifest.json,c7ea447c3ff44cf08541790fc605aeffa8722b93bcdce32c289ff55666f766ff,final_result_info/final_full/baselines/ctgan/error/B/R500/BASE/training_metadata.json,d0493675405a58e3b52ba2980fd0e895459b13e11087765706574f1c9469ba21,final_result_info/final_full/baselines/ctgan/error/B/R500/BASE/generated_payloads.csv,cba16195b052a9e5b00eb5ca345141f25fe0b4bed79006f182d92cf38f5ddcc0,final_result_info/final_full/baselines/ctgan/error/B/R500/BASE/quality_metrics.json,2a93d68ffc87c66cd72fbbafd97ac4224d45f6aaa0462706bbd724541c58a739,final_result_info/final_full/baselines/ctgan/error/B/R500/BASE/rf_metrics.json,0c91e329e575f1397559ef9354f364cd8c3d1a5f9beece85be73ef9b88185b03,16000,18000,2000,0,cba16195b052a9e5b00eb5ca345141f25fe0b4bed79006f182d92cf38f5ddcc0,source_row >= 16000 and source_row < 18000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|error|D|R100|BASE,final__ctgan__error__D__R100,final_full/baselines,ctgan,CTGAN,error,D,100,BASE,full,completed,final_full/baselines/ctgan/error/D/R100/BASE,/content/colab_configs/experiment_refinement_baseline_R100.yaml,b1129ad281f515e9b2630a2410b208536dd16d0d184825edfaa60a11f3e1933c,data/prepared/frozen/error/D/attack_train.csv,1d408c9d21708d10b686e1416a630e34c0278de92da4d55796abe8c0e82fc3b2,data/prepared/splits/error_holdout.csv,9a8a6ae49976f90ff02ac0c6a1897983a2897dbfcf5f62742a19410b783d5cbf,final_result_info/final_full/baselines/ctgan/error/D/R100/BASE/run_manifest.json,b014146278dd5c35984b4db723784b7eb4032578de3c086e4b011bf0a40ca370,final_result_info/final_full/baselines/ctgan/error/D/R100/BASE/training_metadata.json,38401fcbbba4b748e8085f7dc6bd12d9054cf10dba0a86c79f2675eca8fd7fea,final_result_info/final_full/baselines/ctgan/error/D/R100/BASE/generated_payloads.csv,49e657bb60d3992f9c4ff7657949c27841d0e7456bfd06b891e0738bc36ab70b,final_result_info/final_full/baselines/ctgan/error/D/R100/BASE/quality_metrics.json,063e18328f3379fe22ba1abc074b0f805379f8f2f55a30c708e0761743eda0dc,final_result_info/final_full/baselines/ctgan/error/D/R100/BASE/rf_metrics.json,e0f0bb2c1fd75a738c3a1aa452b5ab7d8c13c227e51e9eb75398510df4c7c33b,18000,20000,2000,0,49e657bb60d3992f9c4ff7657949c27841d0e7456bfd06b891e0738bc36ab70b,source_row >= 18000 and source_row < 20000
Bảng 3.5;Bảng 3.13;Bảng 3.14;Bảng 3.15;Bảng 3.18;Bảng 3.19;Bảng 3.20;Hình 3.12,final_full/baselines|ctgan|error|D|R200|BASE,final__ctgan__error__D__R200,final_full/baselines,ctgan,CTGAN,error,D,200,BASE,full,completed,final_full/baselines/ctgan/error/D/R200/BASE,/content/colab_configs/experiment_refinement_baseline_R200.yaml,0d05cb49fe290a887ad86c92a0eae7ff87bafb353c1169d2eb3279077d1826cf,data/prepared/frozen/error/D/attack_train.csv,6c59bb0c17a06c61164f008379950f98d17678576d517fcf77432852446583da,data/prepared/splits/error_holdout.csv,9a8a6ae49976f90ff02ac0c6a1897983a2897dbfcf5f62742a19410b783d5cbf,final_result_info/final_full/baselines/ctgan/error/D/R200/BASE/run_manifest.json,8ca85ac4792e6a1b8bd44b3ed5c15fd9304c792e4a06d0dd5523589582ff7eb6,final_result_info/final_full/baselines/ctgan/error/D/R200/BASE/training_metadata.json,575ca38e5013b6c0f07de671a9a3325e85e0e98c164f7f5c3937bf7656a4fd21,final_result_info/final_full/baselines/ctgan/error/D/R200/BASE/generated_payloads.csv,a17a4ef0aa4788a734ab6f50018ebeca80509b98482675526d89ba94af29595d,final_result_info/final_full/baselines/ctgan/error/D/R200/BASE/quality_metrics.json,66f8c2b1050bee2b934cc88ce7d27e7ecaaa73e3f225721faea9f4a71f1ef455,final_result_info/final_full/baselines/ctgan/error/D/R200/BASE/rf_metrics.json,13ffe6a3558bb82fc3d12d043e580ad0b868fd92c1e8374f6abf0e2d577b72e4,20000,22000,2000,0,a17a4ef0aa4788a734ab6f50018ebeca80509b98482675526d89ba94af29595d,source_row >= 20000 and source_row < 22000
