scientific_id_without_campaign,campaign_count,campaigns,run_keys
ctgan|boolean|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|boolean|D|R100|BASE;phase2b_ratio_search_medium|ctgan|boolean|D|R100|BASE
ctgan|boolean|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|boolean|D|R200|BASE;phase2b_ratio_search_medium|ctgan|boolean|D|R200|BASE
ctgan|boolean|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|boolean|D|R500|BASE;phase2b_ratio_search_medium|ctgan|boolean|D|R500|BASE
ctgan|boolean|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|ctgan|boolean|D|R50|BASE;phase2b_ratio_search_medium|ctgan|boolean|D|R50|BASE
ctgan|boolean|E|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|boolean|E|R100|BASE;phase2b_ratio_search_medium|ctgan|boolean|E|R100|BASE
ctgan|boolean|E|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|boolean|E|R200|BASE;phase2b_ratio_search_medium|ctgan|boolean|E|R200|BASE
ctgan|boolean|E|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|boolean|E|R500|BASE;phase2b_ratio_search_medium|ctgan|boolean|E|R500|BASE
ctgan|boolean|E|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|ctgan|boolean|E|R50|BASE;phase2b_ratio_search_medium|ctgan|boolean|E|R50|BASE
ctgan|error|B|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|error|B|R100|BASE;phase2b_ratio_search_medium|ctgan|error|B|R100|BASE
ctgan|error|B|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|error|B|R200|BASE;phase2b_ratio_search_medium|ctgan|error|B|R200|BASE
ctgan|error|B|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|error|B|R500|BASE;phase2b_ratio_search_medium|ctgan|error|B|R500|BASE
ctgan|error|B|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|ctgan|error|B|R50|BASE;phase2b_ratio_search_medium|ctgan|error|B|R50|BASE
ctgan|error|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|error|D|R100|BASE;phase2b_ratio_search_medium|ctgan|error|D|R100|BASE
ctgan|error|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|error|D|R200|BASE;phase2b_ratio_search_medium|ctgan|error|D|R200|BASE
ctgan|error|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|error|D|R500|BASE;phase2b_ratio_search_medium|ctgan|error|D|R500|BASE
ctgan|error|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|ctgan|error|D|R50|BASE;phase2b_ratio_search_medium|ctgan|error|D|R50|BASE
ctgan|time|A|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|time|A|R100|BASE;phase2b_ratio_search_medium|ctgan|time|A|R100|BASE
ctgan|time|A|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|time|A|R200|BASE;phase2b_ratio_search_medium|ctgan|time|A|R200|BASE
ctgan|time|A|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|time|A|R500|BASE;phase2b_ratio_search_medium|ctgan|time|A|R500|BASE
ctgan|time|A|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|ctgan|time|A|R50|BASE;phase2b_ratio_search_medium|ctgan|time|A|R50|BASE
ctgan|time|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|time|D|R100|BASE;phase2b_ratio_search_medium|ctgan|time|D|R100|BASE
ctgan|time|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|time|D|R200|BASE;phase2b_ratio_search_medium|ctgan|time|D|R200|BASE
ctgan|time|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|time|D|R500|BASE;phase2b_ratio_search_medium|ctgan|time|D|R500|BASE
ctgan|time|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|ctgan|time|D|R50|BASE;phase2b_ratio_search_medium|ctgan|time|D|R50|BASE
ctgan|union|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|union|D|R100|BASE;phase2b_ratio_search_medium|ctgan|union|D|R100|BASE
ctgan|union|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|union|D|R200|BASE;phase2b_ratio_search_medium|ctgan|union|D|R200|BASE
ctgan|union|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|union|D|R500|BASE;phase2b_ratio_search_medium|ctgan|union|D|R500|BASE
ctgan|union|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|ctgan|union|D|R50|BASE;phase2b_ratio_search_medium|ctgan|union|D|R50|BASE
ctgan|union|F|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|union|F|R100|BASE;phase2b_ratio_search_medium|ctgan|union|F|R100|BASE
ctgan|union|F|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|union|F|R200|BASE;phase2b_ratio_search_medium|ctgan|union|F|R200|BASE
ctgan|union|F|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|ctgan|union|F|R500|BASE;phase2b_ratio_search_medium|ctgan|union|F|R500|BASE
ctgan|union|F|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|ctgan|union|F|R50|BASE;phase2b_ratio_search_medium|ctgan|union|F|R50|BASE
gan|boolean|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|boolean|D|R100|BASE;phase2b_ratio_search_medium|gan|boolean|D|R100|BASE
gan|boolean|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|boolean|D|R200|BASE;phase2b_ratio_search_medium|gan|boolean|D|R200|BASE
gan|boolean|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|boolean|D|R500|BASE;phase2b_ratio_search_medium|gan|boolean|D|R500|BASE
gan|boolean|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|gan|boolean|D|R50|BASE;phase2b_ratio_search_medium|gan|boolean|D|R50|BASE
gan|boolean|E|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|boolean|E|R100|BASE;phase2b_ratio_search_medium|gan|boolean|E|R100|BASE
gan|boolean|E|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|boolean|E|R200|BASE;phase2b_ratio_search_medium|gan|boolean|E|R200|BASE
gan|boolean|E|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|boolean|E|R500|BASE;phase2b_ratio_search_medium|gan|boolean|E|R500|BASE
gan|boolean|E|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|gan|boolean|E|R50|BASE;phase2b_ratio_search_medium|gan|boolean|E|R50|BASE
gan|error|B|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|error|B|R100|BASE;phase2b_ratio_search_medium|gan|error|B|R100|BASE
gan|error|B|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|error|B|R200|BASE;phase2b_ratio_search_medium|gan|error|B|R200|BASE
gan|error|B|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|error|B|R500|BASE;phase2b_ratio_search_medium|gan|error|B|R500|BASE
