run_key,campaign,method_id,method_display_vi,family,scenario,ratio,variant,garbage_rate,sql_structure_rate,unique_rate,normalized_unique_rate,dominant_payload_share,normalized_dominant_payload_share,family_motif_coverage,family_motif_hit_rate,eligible_requests,blocked_requests,not_blocked_requests,not_sent_too_long,waf_not_blocked_rate,quality_metrics_path,quality_metrics_sha256
final_full/baselines|ctgan|boolean|D|R100|BASE,final_full/baselines,ctgan,CTGAN,boolean,D,100,BASE,0.0,1.0,0.062,0.062,0.051,0.051,0.75,1.0,4000,3914,86,0,0.0215,final_result_info/final_full/baselines/ctgan/boolean/D/R100/BASE/quality_metrics.json,2e02fe2abc6dba49c14d9ad2b843cd09969166f4fee082440a6716915937df4d
final_full/baselines|ctgan|boolean|D|R200|BASE,final_full/baselines,ctgan,CTGAN,boolean,D,200,BASE,0.0,1.0,0.0355,0.0355,0.0685,0.0685,0.75,1.0,4000,3994,6,0,0.0015,final_result_info/final_full/baselines/ctgan/boolean/D/R200/BASE/quality_metrics.json,aec1c02f38675fc3b093849178fdc92335f2f81ba1134d2b5b52e8945289a28f
final_full/baselines|ctgan|boolean|D|R500|BASE,final_full/baselines,ctgan,CTGAN,boolean,D,500,BASE,0.0,1.0,0.015,0.015,0.1565,0.1565,0.75,1.0,4000,3978,22,0,0.0055,final_result_info/final_full/baselines/ctgan/boolean/D/R500/BASE/quality_metrics.json,2c6ea93e8afb1901d074f6bf8ac35a48ceaf8502fdfc33c90dfad653ff00468b
final_full/baselines|ctgan|boolean|E|R100|BASE,final_full/baselines,ctgan,CTGAN,boolean,E,100,BASE,0.0,1.0,0.063,0.063,0.046,0.046,1.0,1.0,4000,3904,96,0,0.024,final_result_info/final_full/baselines/ctgan/boolean/E/R100/BASE/quality_metrics.json,709b99d71908c9030a9c2adb4fc0531d117f324aa5217010461b67fd8d66f4f4
final_full/baselines|ctgan|boolean|E|R200|BASE,final_full/baselines,ctgan,CTGAN,boolean,E,200,BASE,0.0,1.0,0.037,0.037,0.097,0.097,1.0,1.0,4000,3972,28,0,0.007,final_result_info/final_full/baselines/ctgan/boolean/E/R200/BASE/quality_metrics.json,dcefcdb6b55ed8c590549ce0473694a14bebbe82ce3067d76c61728843afbaf8
final_full/baselines|ctgan|boolean|E|R500|BASE,final_full/baselines,ctgan,CTGAN,boolean,E,500,BASE,0.0,1.0,0.0155,0.0155,0.161,0.161,0.75,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/boolean/E/R500/BASE/quality_metrics.json,aa306cb102efba7de1f429ec52f0c4f8a4eda15a46c3445c1f99ac437576dd92
final_full/baselines|ctgan|error|B|R100|BASE,final_full/baselines,ctgan,CTGAN,error,B,100,BASE,0.0,1.0,0.0535,0.0535,0.085,0.085,0.375,0.985,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/error/B/R100/BASE/quality_metrics.json,ee275a30306d11b517ef85d0f5744d38ff1a9b822c36e433ba2b748e3dc9cb71
final_full/baselines|ctgan|error|B|R200|BASE,final_full/baselines,ctgan,CTGAN,error,B,200,BASE,0.0,1.0,0.032,0.032,0.152,0.152,0.375,0.9925,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/error/B/R200/BASE/quality_metrics.json,81b6b0dd8d3fee0752c08073401ac8f19190bfdf75c90e0419b130ef8e05bb50
final_full/baselines|ctgan|error|B|R500|BASE,final_full/baselines,ctgan,CTGAN,error,B,500,BASE,0.0,1.0,0.012,0.012,0.2965,0.2965,0.125,0.813,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/error/B/R500/BASE/quality_metrics.json,2a93d68ffc87c66cd72fbbafd97ac4224d45f6aaa0462706bbd724541c58a739
final_full/baselines|ctgan|error|D|R100|BASE,final_full/baselines,ctgan,CTGAN,error,D,100,BASE,0.0,1.0,0.0615,0.0615,0.163,0.163,0.625,0.984,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/error/D/R100/BASE/quality_metrics.json,063e18328f3379fe22ba1abc074b0f805379f8f2f55a30c708e0761743eda0dc
final_full/baselines|ctgan|error|D|R200|BASE,final_full/baselines,ctgan,CTGAN,error,D,200,BASE,0.0,1.0,0.034,0.034,0.19,0.19,0.625,0.9495,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/error/D/R200/BASE/quality_metrics.json,66f8c2b1050bee2b934cc88ce7d27e7ecaaa73e3f225721faea9f4a71f1ef455
final_full/baselines|ctgan|error|D|R500|BASE,final_full/baselines,ctgan,CTGAN,error,D,500,BASE,0.0,1.0,0.0145,0.0145,0.19,0.19,0.5,0.8095,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/error/D/R500/BASE/quality_metrics.json,a2b412520144d7f77e23ec4ab9881be94de0a69f56f17cc2efa014394870f898
final_full/baselines|ctgan|time|A|R100|BASE,final_full/baselines,ctgan,CTGAN,time,A,100,BASE,0.0014999999999999458,0.9985,0.065,0.065,0.0585,0.0585,1.0,0.9985,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/time/A/R100/BASE/quality_metrics.json,cdffbbe1bcf587e49024567570baffe672ada45568fc5c8d713f6bd9ff2e91cf
