timestamp_utc,elapsed_seconds,allowed_concurrency,running,pending,cpu_percent,ram_percent,ram_available_gib
2026-07-14T04:14:12.427624+00:00,0.0,1,0,147,6.0,9.5,11.470211029052734
2026-07-14T04:14:28.464094+00:00,16.0,1,1,146,56.6,11.4,11.228004455566406
2026-07-14T04:14:43.990287+00:00,31.6,1,1,146,4.0,10.0,11.39889907836914
2026-07-14T04:14:59.527427+00:00,47.1,1,0,146,51.0,9.8,11.43060302734375
2026-07-14T04:15:15.602222+00:00,63.2,1,1,145,1.0,9.8,11.430652618408203
2026-07-14T04:15:31.128044+00:00,78.7,1,0,145,1.0,9.8,11.429367065429688
2026-07-14T04:15:47.172114+00:00,94.7,1,1,144,4.0,9.6,11.450092315673828
2026-07-14T04:16:02.694885+00:00,110.3,1,0,144,4.0,9.7,11.442619323730469
2026-07-14T04:16:18.730830+00:00,126.3,2,1,143,4.0,9.6,11.450424194335938
2026-07-14T04:16:34.774121+00:00,142.3,2,1,142,4.0,9.5,11.463260650634766
2026-07-14T04:16:50.818022+00:00,158.4,2,1,141,18.2,9.6,11.449813842773438
2026-07-14T04:17:06.894674+00:00,174.5,2,1,140,100.0,11.2,11.256458282470703
2026-07-14T04:17:22.443117+00:00,190.0,2,1,140,55.6,9.8,11.433910369873047
2026-07-14T04:17:38.524052+00:00,206.1,2,1,139,98.0,11.0,11.279518127441406
2026-07-14T04:17:54.106516+00:00,221.7,2,1,139,0.0,9.8,11.432968139648438
2026-07-14T04:18:10.159654+00:00,237.7,2,1,138,0.0,9.7,11.444095611572266
2026-07-14T04:18:26.204813+00:00,253.8,3,1,137,4.0,9.5,11.462234497070312
2026-07-14T04:18:42.790759+00:00,270.4,3,2,135,100.0,12.7,11.062477111816406
2026-07-14T04:18:58.333692+00:00,285.9,3,2,135,5.0,9.6,11.449771881103516
2026-07-14T04:19:14.387023+00:00,302.0,3,1,134,6.1,9.7,11.443458557128906
2026-07-14T04:19:30.975298+00:00,318.5,3,2,132,100.0,11.5,11.216964721679688
2026-07-14T04:19:46.527640+00:00,334.1,3,2,132,17.3,9.7,11.44241714477539
2026-07-14T04:20:02.583012+00:00,350.2,3,1,131,54.0,9.6,11.457809448242188
2026-07-14T04:20:19.182583+00:00,366.8,3,2,129,100.0,12.5,11.083564758300781
2026-07-14T04:20:34.753705+00:00,382.3,3,2,129,7.0,9.8,11.428485870361328
2026-07-14T04:20:50.835283+00:00,398.4,3,1,128,4.0,9.6,11.456878662109375
2026-07-14T04:21:07.447347+00:00,415.0,3,2,126,100.0,11.8,11.17569351196289
2026-07-14T04:21:22.988286+00:00,430.6,3,2,126,6.0,9.6,11.459537506103516
2026-07-14T04:21:39.050430+00:00,446.6,3,1,125,3.0,9.7,11.441764831542969
2026-07-14T04:21:55.663345+00:00,463.2,3,2,123,100.0,12.5,11.090473175048828
2026-07-14T04:22:11.213079+00:00,478.8,3,2,123,4.0,9.6,11.460006713867188
2026-07-14T04:22:27.260873+00:00,494.8,4,1,122,55.6,11.1,11.267204284667969
2026-07-14T04:22:43.339680+00:00,510.9,4,2,121,4.0,9.7,11.44083023071289
2026-07-14T04:22:59.999398+00:00,527.6,4,2,119,100.0,12.5,11.089744567871094
2026-07-14T04:23:15.551324+00:00,543.1,4,2,119,6.1,9.6,11.456161499023438
2026-07-14T04:23:32.153709+00:00,559.7,4,2,117,100.0,12.5,11.08499526977539
2026-07-14T04:23:47.710685+00:00,575.3,4,2,117,4.0,9.8,11.423713684082031
2026-07-14T04:24:04.369381+00:00,591.9,4,2,115,100.0,12.5,11.093151092529297
2026-07-14T04:24:19.926480+00:00,607.5,5,2,115,3.1,9.6,11.455360412597656
2026-07-14T04:24:36.520049+00:00,624.1,5,2,113,100.0,12.4,11.09918212890625
2026-07-14T04:24:52.071192+00:00,639.6,5,2,113,3.0,9.7,11.436286926269531
2026-07-14T04:25:08.653899+00:00,656.2,5,2,111,100.0,12.6,11.078105926513672
2026-07-14T04:25:24.202991+00:00,671.8,5,2,111,5.0,10.0,11.410491943359375
2026-07-14T04:25:40.830312+00:00,688.4,5,2,109,100.0,12.6,11.07790756225586
2026-07-14T04:25:56.386614+00:00,704.0,5,2,109,4.0,9.9,11.417884826660156
2026-07-14T04:26:12.978843+00:00,720.6,5,2,107,100.0,12.6,11.080726623535156
2026-07-14T04:26:28.564402+00:00,736.1,5,2,107,2.0,9.8,11.423847198486328
2026-07-14T04:26:45.161623+00:00,752.7,5,2,105,100.0,12.4,11.099456787109375
2026-07-14T04:27:00.701327+00:00,768.3,5,2,105,2.0,9.8,11.428955078125
2026-07-14T04:27:17.299906+00:00,784.9,5,2,103,100.0,12.4,11.097835540771484
2026-07-14T04:27:32.855259+00:00,800.4,5,2,103,6.1,9.8,11.428321838378906
2026-07-14T04:27:49.433064+00:00,817.0,5,2,101,100.0,12.6,11.076396942138672
2026-07-14T04:28:04.985235+00:00,832.6,5,2,101,0.0,9.8,11.423625946044922
2026-07-14T04:28:21.577556+00:00,849.1,5,2,99,100.0,12.6,11.080978393554688
2026-07-14T04:28:37.119947+00:00,864.7,5,2,99,3.0,9.9,11.421077728271484
2026-07-14T04:28:53.705584+00:00,881.3,5,2,97,99.0,13.6,10.949764251708984
2026-07-14T04:29:09.253315+00:00,896.8,5,2,97,54.0,10.9,11.289012908935547
2026-07-14T04:29:25.338092+00:00,912.9,5,2,96,54.9,10.9,11.295093536376953
2026-07-14T04:29:41.405323+00:00,929.0,5,2,95,54.5,10.7,11.312782287597656
2026-07-14T04:29:57.470158+00:00,945.0,5,2,94,57.0,11.0,11.280895233154297
2026-07-14T04:30:13.563987+00:00,961.1,6,2,93,55.0,10.8,11.306903839111328
2026-07-14T04:30:29.627551+00:00,977.2,6,2,92,56.6,11.0,11.279884338378906
2026-07-14T04:30:45.713128+00:00,993.3,6,2,91,55.0,12.2,11.119823455810547
2026-07-14T04:31:01.780147+00:00,1009.4,6,2,90,100.0,11.4,11.231975555419922
2026-07-14T04:31:17.332720+00:00,1024.9,6,2,90,50.5,11.2,11.249496459960938
2026-07-14T04:31:33.403310+00:00,1041.0,6,2,89,51.5,11.0,11.279354095458984
2026-07-14T04:31:49.495376+00:00,1057.1,6,2,88,51.5,10.9,11.293060302734375
