probe_index,source_row,method,payload,url,status,blocked,outcome,request_sent,url_length,latency_ms,attempts,error,audit_rule_ids,audit_transaction_ids,audit_messages,audit_files
0,4140,GET,"1""   )    )    and 3",http://127.0.0.1:18080/?payload=1%22+++%29++++%29++++and+3,403,True,blocked,True,58,51.777,1,,920350|942100|949110,178456920210.765255,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 8)""]",transactions/20260720/20260720-1740/20260720-174002-178456920210.765255
1,4140,POST,"1""   )    )    and 3",http://127.0.0.1:18080/,403,True,blocked,True,23,55.116,1,,920350|942100|949110,178456920284.013929,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 8)""]",transactions/20260720/20260720-1740/20260720-174002-178456920284.013929
2,3081,GET,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   ||'",http://127.0.0.1:18080/?payload=call+regexp_substring++%28++repeat++%28++right++%28++char++%28++3702++%29++%2C0++%29++%2C500000000++%29++%2Cnull+++%29++++%29+++%7C%7C%27,200,False,bypass,True,169,49.683,1,,920350,178456920217.170592,"[""Host header is a numeric IP address""]",transactions/20260720/20260720-1740/20260720-174002-178456920217.170592
3,3081,POST,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   ||'",http://127.0.0.1:18080/,200,False,bypass,True,23,62.62,1,,920350,178456920274.511524,"[""Host header is a numeric IP address""]",transactions/20260720/20260720-1740/20260720-174002-178456920274.511524
4,41,GET,"1'   )    )    as kfnt where 8090  =  8090 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",http://127.0.0.1:18080/?payload=1%27+++%29++++%29++++as+kfnt+where+8090++%3D++8090+procedure+analyse++%28++extractvalue++%28++9255%2Cconcat++%28++0x5c%2C++%28++benchmark++%28++5000000%2Cmd5++%28++0x52515a50+++%29++++%29++++++%29++++%29+++++%29++%2C1++%29++--,403,True,blocked,True,258,58.47,1,,920350|933160|942100|942151|942160|942320|949110,178456920261.113309,"[""Host header is a numeric IP address"", ""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Detects MySQL and PostgreSQL stored procedure/function injections"", ""Inbound Anomaly Score Exceeded (Total Score: 28)""]",transactions/20260720/20260720-1740/20260720-174002-178456920261.113309
5,41,POST,"1'   )    )    as kfnt where 8090  =  8090 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",http://127.0.0.1:18080/,403,True,blocked,True,23,38.716,1,,920350|933160|942100|942151|942160|942320|949110,178456920257.242915,"[""Host header is a numeric IP address"", ""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Detects MySQL and PostgreSQL stored procedure/function injections"", ""Inbound Anomaly Score Exceeded (Total Score: 28)""]",transactions/20260720/20260720-1740/20260720-174002-178456920257.242915
6,797,GET,"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--",http://127.0.0.1:18080/?payload=select+dbms_pipe.receive_message++%28++chr++%28++112++%29++%7C%7Cchr++%28++70++%29++%7C%7Cchr++%28++106++%29++%7C%7Cchr++%28++78++%29++%2C5++%29+++from+dual--,403,True,blocked,True,190,47.279,1,,920350|933160|942100|949110,178456920264.826138,"[""Host header is a numeric IP address"", ""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920264.826138
7,797,POST,"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--",http://127.0.0.1:18080/,403,True,blocked,True,23,50.394,1,,920350|933160|942100|949110,178456920276.989440,"[""Host header is a numeric IP address"", ""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920276.989440
8,1193,GET,"-8034""  )   where 1292  =  1292 union all select 1292,1292,1292,1292,1292#",http://127.0.0.1:18080/?payload=-8034%22++%29+++where+1292++%3D++1292+union+all+select+1292%2C1292%2C1292%2C1292%2C1292%23,403,True,blocked,True,122,7.458,1,,920350|942100|942190|949110,178456920255.755268,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920255.755268
9,1193,POST,"-8034""  )   where 1292  =  1292 union all select 1292,1292,1292,1292,1292#",http://127.0.0.1:18080/,403,True,blocked,True,23,6.696,1,,920350|942100|942190|949110,178456920217.055038,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920217.055038
10,3927,GET,1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,http://127.0.0.1:18080/?payload=1%27+++%29++++%29++++or+sleep++%28++5++%29+++and++++%28++++%28+++%27uzhd%27+like+%27uzhd,403,True,blocked,True,120,7.046,1,,920350|942100|942160|949110,17845692027.084799,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-17845692027.084799
11,3927,POST,1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,http://127.0.0.1:18080/,403,True,blocked,True,23,7.875,1,,920350|942100|942160|949110,178456920262.048304,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920262.048304
12,2647,GET,"1'+  (  select lhho where 7579  =  7579 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",http://127.0.0.1:18080/?payload=1%27%2B++%28++select+lhho+where+7579++%3D++7579+and+char++%28++109++%29++%7C%7Cchar++%28++79++%29++%7C%7Cchar++%28++70++%29++%7C%7Cchar++%28++90++%29++++%3D++regexp_substring++%28++repeat++%28++right++%28++char++%28++5012++%29++%2C0++%29++%2C5000000000++%29++%2Cnull++%29++--,403,True,blocked,True,307,9.599,1,,920350|942100|942360|949110,178456920261.569885,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack Detected via libinjection"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 18)""]",transactions/20260720/20260720-1740/20260720-174002-178456920261.569885
13,2647,POST,"1'+  (  select lhho where 7579  =  7579 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",http://127.0.0.1:18080/,403,True,blocked,True,23,9.055,1,,920350|942100|942360|949110,178456920263.853604,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack Detected via libinjection"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 18)""]",transactions/20260720/20260720-1740/20260720-174002-178456920263.853604
14,2005,GET,"1   )    )    as spdf where 8554  =  8554 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",http://127.0.0.1:18080/?payload=1+++%29++++%29++++as+spdf+where+8554++%3D++8554+or+2633++%3D++dbms_pipe.receive_message++%28++chr++%28++112++%29++%7C%7Cchr++%28++65++%29++%7C%7Cchr++%28++65++%29++%7C%7Cchr++%28++103++%29++%2C5++%29++--,403,True,blocked,True,235,6.966,1,,920350|933160|942100|949110,178456920275.281663,"[""Host header is a numeric IP address"", ""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920275.281663
15,2005,POST,"1   )    )    as spdf where 8554  =  8554 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",http://127.0.0.1:18080/,403,True,blocked,True,23,5.983,1,,920350|933160|942100|949110,178456920228.223146,"[""Host header is a numeric IP address"", ""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920228.223146
16,2088,GET,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (     (  'aatp'  =  'aatp",http://127.0.0.1:18080/?payload=select+dbms_pipe.receive_message++%28++chr++%28++66++%29++%7C%7Cchr++%28++67++%29++%7C%7Cchr++%28++79++%29++%7C%7Cchr++%28++101++%29++%2C5++%29+++from+dual+and++++%28++++%28+++++%28++%27aatp%27++%3D++%27aatp,403,True,blocked,True,239,5.762,1,,920350|933160|942100|949110,178456920282.956608,"[""Host header is a numeric IP address"", ""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920282.956608
