probe_index,source_row,method,payload,url,status,blocked,outcome,request_sent,url_length,latency_ms,attempts,error
0,4140,GET,"1""   )    )    and 3",http://127.0.0.1:18080/?payload=1%22+++%29++++%29++++and+3,403,True,blocked,True,58,51.777,1,
1,4140,POST,"1""   )    )    and 3",http://127.0.0.1:18080/,403,True,blocked,True,23,55.116,1,
2,3081,GET,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   ||'",http://127.0.0.1:18080/?payload=call+regexp_substring++%28++repeat++%28++right++%28++char++%28++3702++%29++%2C0++%29++%2C500000000++%29++%2Cnull+++%29++++%29+++%7C%7C%27,200,False,bypass,True,169,49.683,1,
3,3081,POST,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   ||'",http://127.0.0.1:18080/,200,False,bypass,True,23,62.62,1,
4,41,GET,"1'   )    )    as kfnt where 8090  =  8090 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",http://127.0.0.1:18080/?payload=1%27+++%29++++%29++++as+kfnt+where+8090++%3D++8090+procedure+analyse++%28++extractvalue++%28++9255%2Cconcat++%28++0x5c%2C++%28++benchmark++%28++5000000%2Cmd5++%28++0x52515a50+++%29++++%29++++++%29++++%29+++++%29++%2C1++%29++--,403,True,blocked,True,258,58.47,1,
5,41,POST,"1'   )    )    as kfnt where 8090  =  8090 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",http://127.0.0.1:18080/,403,True,blocked,True,23,38.716,1,
6,797,GET,"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--",http://127.0.0.1:18080/?payload=select+dbms_pipe.receive_message++%28++chr++%28++112++%29++%7C%7Cchr++%28++70++%29++%7C%7Cchr++%28++106++%29++%7C%7Cchr++%28++78++%29++%2C5++%29+++from+dual--,403,True,blocked,True,190,47.279,1,
7,797,POST,"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--",http://127.0.0.1:18080/,403,True,blocked,True,23,50.394,1,
8,1193,GET,"-8034""  )   where 1292  =  1292 union all select 1292,1292,1292,1292,1292#",http://127.0.0.1:18080/?payload=-8034%22++%29+++where+1292++%3D++1292+union+all+select+1292%2C1292%2C1292%2C1292%2C1292%23,403,True,blocked,True,122,7.458,1,
9,1193,POST,"-8034""  )   where 1292  =  1292 union all select 1292,1292,1292,1292,1292#",http://127.0.0.1:18080/,403,True,blocked,True,23,6.696,1,
10,3927,GET,1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,http://127.0.0.1:18080/?payload=1%27+++%29++++%29++++or+sleep++%28++5++%29+++and++++%28++++%28+++%27uzhd%27+like+%27uzhd,403,True,blocked,True,120,7.046,1,
11,3927,POST,1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,http://127.0.0.1:18080/,403,True,blocked,True,23,7.875,1,
12,2647,GET,"1'+  (  select lhho where 7579  =  7579 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",http://127.0.0.1:18080/?payload=1%27%2B++%28++select+lhho+where+7579++%3D++7579+and+char++%28++109++%29++%7C%7Cchar++%28++79++%29++%7C%7Cchar++%28++70++%29++%7C%7Cchar++%28++90++%29++++%3D++regexp_substring++%28++repeat++%28++right++%28++char++%28++5012++%29++%2C0++%29++%2C5000000000++%29++%2Cnull++%29++--,403,True,blocked,True,307,9.599,1,
13,2647,POST,"1'+  (  select lhho where 7579  =  7579 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",http://127.0.0.1:18080/,403,True,blocked,True,23,9.055,1,
14,2005,GET,"1   )    )    as spdf where 8554  =  8554 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",http://127.0.0.1:18080/?payload=1+++%29++++%29++++as+spdf+where+8554++%3D++8554+or+2633++%3D++dbms_pipe.receive_message++%28++chr++%28++112++%29++%7C%7Cchr++%28++65++%29++%7C%7Cchr++%28++65++%29++%7C%7Cchr++%28++103++%29++%2C5++%29++--,403,True,blocked,True,235,6.966,1,
15,2005,POST,"1   )    )    as spdf where 8554  =  8554 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",http://127.0.0.1:18080/,403,True,blocked,True,23,5.983,1,
16,2088,GET,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (     (  'aatp'  =  'aatp",http://127.0.0.1:18080/?payload=select+dbms_pipe.receive_message++%28++chr++%28++66++%29++%7C%7Cchr++%28++67++%29++%7C%7Cchr++%28++79++%29++%7C%7Cchr++%28++101++%29++%2C5++%29+++from+dual+and++++%28++++%28+++++%28++%27aatp%27++%3D++%27aatp,403,True,blocked,True,239,5.762,1,
17,2088,POST,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (     (  'aatp'  =  'aatp",http://127.0.0.1:18080/,403,True,blocked,True,23,7.08,1,
18,716,GET,"1' in boolean mode  )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   #",http://127.0.0.1:18080/?payload=1%27+in+boolean+mode++%29+++and+exp++%28++~++%28++select+%2A+from+++%28++select+concat++%28++0x7171706a71%2C++%28++select+++%28++elt++%28++8190++%3D++8190%2C1+++%29++++%29+++++%29++%2C0x717a767a71%2C0x78+++%29++++%29+++x+++%29++++%29+++%23,403,True,blocked,True,271,6.251,1,
19,716,POST,"1' in boolean mode  )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   #",http://127.0.0.1:18080/,403,True,blocked,True,23,6.631,1,
20,1338,GET,"1 and make_set  (  8403  =  8403,8899  )  ",http://127.0.0.1:18080/?payload=1+and+make_set++%28++8403++%3D++8403%2C8899++%29++,403,True,blocked,True,82,5.995,1,
21,1338,POST,"1 and make_set  (  8403  =  8403,8899  )  ",http://127.0.0.1:18080/,403,True,blocked,True,23,6.065,1,
22,793,GET,"1' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'cgbf' like 'cgbf",http://127.0.0.1:18080/?payload=1%27+and+6055++%3D++ctxsys.drithsx.sn++%28++6055%2C++%28++chr++%28++113++%29++%7C%7Cchr++%28++113++%29++%7C%7Cchr++%28++112++%29++%7C%7Cchr++%28++106++%29++%7C%7Cchr++%28++113++%29++%7C%7C++%28++select+++%28++case+when+++%28++6055++%3D++6055++%29+++then+1+else+0+end++%29+++from+dual++%29++%7C%7Cchr++%28++113++%29++%7C%7Cchr++%28++122++%29++%7C%7Cchr++%28++118++%29++%7C%7Cchr++%28++122++%29++%7C%7Cchr++%28++113+++%29++++%29+++++%29+++and+%27cgbf%27+like+%27cgbf,403,True,blocked,True,496,6.37,1,
23,793,POST,"1' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'cgbf' like 'cgbf",http://127.0.0.1:18080/,403,True,blocked,True,23,6.572,1,
24,4577,GET,"1'  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",http://127.0.0.1:18080/?payload=1%27++%29+++or+8514++%3D++benchmark++%28++5000000%2Cmd5++%28++0x544d5a4c+++%29++++%29+++%23,403,True,blocked,True,123,5.42,1,
25,4577,POST,"1'  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",http://127.0.0.1:18080/,403,True,blocked,True,23,6.252,1,
26,4396,GET,select count  (  *  ,http://127.0.0.1:18080/?payload=select+count++%28++%2A++,200,False,bypass,True,56,6.964,1,
27,4396,POST,select count  (  *  ,http://127.0.0.1:18080/,200,False,bypass,True,23,7.744,1,
28,3109,GET,1 and user_name  (    )     =   'dbo',http://127.0.0.1:18080/?payload=1+and+user_name++%28++++%29+++++%3D+++%27dbo%27,403,True,blocked,True,79,8.451,1,
29,3109,POST,1 and user_name  (    )     =   'dbo',http://127.0.0.1:18080/,403,True,blocked,True,23,6.982,1,
30,1220,GET,"-1631%""  )   or elt  (  8285  =  1709,1709  )   and   (  ""%""  =  """,http://127.0.0.1:18080/?payload=-1631%25%22++%29+++or+elt++%28++8285++%3D++1709%2C1709++%29+++and+++%28++%22%25%22++%3D++%22,403,True,blocked,True,124,7.716,1,
31,1220,POST,"-1631%""  )   or elt  (  8285  =  1709,1709  )   and   (  ""%""  =  """,http://127.0.0.1:18080/,403,True,blocked,True,23,7.875,1,
32,1270,GET,"-1269"" union all select 8412,8412,8412,8412,8412,8412,8412,8412--",http://127.0.0.1:18080/?payload=-1269%22+union+all+select+8412%2C8412%2C8412%2C8412%2C8412%2C8412%2C8412%2C8412--,403,True,blocked,True,113,6.66,1,
33,1270,POST,"-1269"" union all select 8412,8412,8412,8412,8412,8412,8412,8412--",http://127.0.0.1:18080/,403,True,blocked,True,23,6.447,1,
34,462,GET,1   )    )    as syot where 1199  =  1199,http://127.0.0.1:18080/?payload=1+++%29++++%29++++as+syot+where+1199++%3D++1199,403,True,blocked,True,79,6.96,1,
35,462,POST,1   )    )    as syot where 1199  =  1199,http://127.0.0.1:18080/,403,True,blocked,True,23,8.071,1,
36,1293,GET,"1""   )    )    as isqj where 6344  =  6344 union all select null,null,null,null--",http://127.0.0.1:18080/?payload=1%22+++%29++++%29++++as+isqj+where+6344++%3D++6344+union+all+select+null%2Cnull%2Cnull%2Cnull--,403,True,blocked,True,127,6.741,1,
37,1293,POST,"1""   )    )    as isqj where 6344  =  6344 union all select null,null,null,null--",http://127.0.0.1:18080/,403,True,blocked,True,23,7.037,1,
38,6103,GET,"-5817' in boolean mode  )   union all select 2391,2391,2391,2391,2391--",http://127.0.0.1:18080/?payload=-5817%27+in+boolean+mode++%29+++union+all+select+2391%2C2391%2C2391%2C2391%2C2391--,403,True,blocked,True,115,6.42,1,
39,6103,POST,"-5817' in boolean mode  )   union all select 2391,2391,2391,2391,2391--",http://127.0.0.1:18080/,403,True,blocked,True,23,6.22,1,
