probe_index,source_row,transaction_id,http_status,rule_ids,messages,audit_file,audit_bytes,parse_error
999999,999999,178456916513.231870,403,920350|942100|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 8)""]",transactions/20260720/20260720-1739/20260720-173925-178456916513.231870,2718,
47,4636,17845692021.592947,403,920350|942100|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 8)""]",transactions/20260720/20260720-1740/20260720-174002-17845692021.592947,2938,
40,2934,17845692021.777498,403,920350|942100|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 8)""]",transactions/20260720/20260720-1740/20260720-174002-17845692021.777498,3084,
0,4140,178456920210.765255,403,920350|942100|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 8)""]",transactions/20260720/20260720-1740/20260720-174002-178456920210.765255,2837,
48,571,178456920212.200392,403,920350|942100|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 8)""]",transactions/20260720/20260720-1740/20260720-174002-178456920212.200392,3129,
32,1270,178456920214.084080,403,920350|942100|942190|942360|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 18)""]",transactions/20260720/20260720-1740/20260720-174002-178456920214.084080,5043,
97,4819,178456920216.125468,403,920350|942100|942360|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack Detected via libinjection"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 18)""]",transactions/20260720/20260720-1740/20260720-174002-178456920216.125468,4947,
9,1193,178456920217.055038,403,920350|942100|942190|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920217.055038,4031,
2,3081,178456920217.170592,200,920350,"[""Host header is a numeric IP address""]",transactions/20260720/20260720-1740/20260720-174002-178456920217.170592,1783,
82,3779,178456920217.373753,403,920350|942100|942160|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 13)""]",transactions/20260720/20260720-1740/20260720-174002-178456920217.373753,3793,
19,716,178456920218.491101,403,920350|933160|942100|942151|949110,"[""Host header is a numeric IP address"", ""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 18)""]",transactions/20260720/20260720-1740/20260720-174002-178456920218.491101,5551,
86,1374,178456920218.733436,200,920350,"[""Host header is a numeric IP address""]",transactions/20260720/20260720-1740/20260720-174002-178456920218.733436,1656,
93,4156,178456920219.052748,200,920350,"[""Host header is a numeric IP address""]",transactions/20260720/20260720-1740/20260720-174002-178456920219.052748,1725,
34,462,178456920219.076374,403,920350|942100|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 8)""]",transactions/20260720/20260720-1740/20260720-174002-178456920219.076374,2879,
43,720,17845692022.527262,403,920350|933160|942100|942151|949110,"[""Host header is a numeric IP address"", ""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 18)""]",transactions/20260720/20260720-1740/20260720-174002-17845692022.527262,5647,
98,1358,178456920221.699445,403,920350|942100|942160|942170|949110,"[""Host header is a numeric IP address"", ""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Detects SQL benchmark and sleep injection attempts including conditional queries"", ""Inbound Anomaly Score Exceeded (Total Score: 18)""]",transactions/20260720/20260720-1740/20260720-174002-178456920221.699445,4638,
