label,payload,family,payload_type,method,run_id,sample_index
attack,"""      w  )         ",union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,0
attack,"-3946""   n         7",union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,1
attack,"-1460""            s ",union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,2
attack,"-7777%%""""           ",union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,3
attack,-5984' where'ellr 0 ,union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,4
attack,-841'  unini0  un)  ,union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,5
attack,@                   ,union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,6
attack,"-846""  )        )   ",union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,7
attack,-664'             8 ,union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,8
attack,"1""                  ",union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,9
attack,-04801%'     )      ,union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,10
attack,-821'               ,union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,11
attack,"1""6      u   )      ",union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,12
attack,-685' )        5    ,union,union,seqgan_master,seqgan_master__phase2a__union__D__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,13
