epoch,critic_loss,generator_loss
1,8.951437950134277,0.20532828569412231
2,7.474140739440918,0.6642137169837952
3,4.672768211364746,1.355784296989441
4,0.8747464179992676,2.0448808670043945
5,-2.6075347900390624,2.484346628189087
6,-4.829104804992676,3.3480424880981445
7,-5.4792993545532225,3.0067453384399414
8,-5.7815220832824705,3.4480037689208984
9,-5.3329322814941404,2.976266860961914
10,-4.982586479187011,2.3314197063446045
11,-5.3009990692138675,2.802903652191162
12,-5.102592086791992,2.655566930770874
13,-5.163159465789795,1.5885367393493652
14,-4.750456619262695,2.2952287197113037
15,-4.41491322517395,1.437317967414856
16,-4.133866834640503,1.3839036226272583
17,-3.648147201538086,0.1875075101852417
18,-3.1000591278076173,-0.5136301517486572
19,-2.4868699312210083,-0.9349951148033142
20,-1.9513935804367066,-1.645792841911316
21,-1.5665159344673156,-1.2412638664245605
22,-1.728339385986328,-1.0046619176864624
23,-1.2450372576713562,-0.7527397871017456
24,-1.1228867173194885,-0.8899670243263245
25,-1.00575510263443,-0.8967247009277344
