source_archive,source_entry,run_key,campaign,method,family,scenario,ratio,variant,execution_profile,status,row_start_inclusive,row_end_exclusive,row_count,empty_payload_count,source_csv_sha256
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\boolean\D\R100\BASE\generated_payloads.csv,final_full/baselines/ctgan/boolean/D/R100/BASE/generated_payloads.csv,final_full/baselines|ctgan|boolean|D|R100|BASE,final_full/baselines,ctgan,boolean,D,R100,BASE,full,completed,0,2000,2000,0,d00ba2008765ce5297bcb6d476426e4bcf78ea048f9e61193f321ef75cb443af
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\boolean\D\R200\BASE\generated_payloads.csv,final_full/baselines/ctgan/boolean/D/R200/BASE/generated_payloads.csv,final_full/baselines|ctgan|boolean|D|R200|BASE,final_full/baselines,ctgan,boolean,D,R200,BASE,full,completed,2000,4000,2000,0,c2b68d62140223091de46d89d5b3f031210672e608b5ac5135193e4e7f2e09b2
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\boolean\D\R500\BASE\generated_payloads.csv,final_full/baselines/ctgan/boolean/D/R500/BASE/generated_payloads.csv,final_full/baselines|ctgan|boolean|D|R500|BASE,final_full/baselines,ctgan,boolean,D,R500,BASE,full,completed,4000,6000,2000,0,479c6ee93b349df38cf2dc93ddd86e0fd7d436f2991bd7eaacbb52360b4db827
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\boolean\E\R100\BASE\generated_payloads.csv,final_full/baselines/ctgan/boolean/E/R100/BASE/generated_payloads.csv,final_full/baselines|ctgan|boolean|E|R100|BASE,final_full/baselines,ctgan,boolean,E,R100,BASE,full,completed,6000,8000,2000,0,9894eae27643d9f54d4fce691d7af638784d67a6b814d484e90e19a09cd6784c
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\boolean\E\R200\BASE\generated_payloads.csv,final_full/baselines/ctgan/boolean/E/R200/BASE/generated_payloads.csv,final_full/baselines|ctgan|boolean|E|R200|BASE,final_full/baselines,ctgan,boolean,E,R200,BASE,full,completed,8000,10000,2000,0,a6a4b04b5f6376148d6d13dbfa4c53bec70b7377da5e3908f731c6f4aa7c345b
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\boolean\E\R500\BASE\generated_payloads.csv,final_full/baselines/ctgan/boolean/E/R500/BASE/generated_payloads.csv,final_full/baselines|ctgan|boolean|E|R500|BASE,final_full/baselines,ctgan,boolean,E,R500,BASE,full,completed,10000,12000,2000,0,723f1a2413fecfe58af208549ac991f0277164d8f08bcfadff587993c1793747
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\error\B\R100\BASE\generated_payloads.csv,final_full/baselines/ctgan/error/B/R100/BASE/generated_payloads.csv,final_full/baselines|ctgan|error|B|R100|BASE,final_full/baselines,ctgan,error,B,R100,BASE,full,completed,12000,14000,2000,0,4fa5f15f083b0dae2058bb301527807f9c3bb7597b6e4b0e16d06f0ee840612c
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\error\B\R200\BASE\generated_payloads.csv,final_full/baselines/ctgan/error/B/R200/BASE/generated_payloads.csv,final_full/baselines|ctgan|error|B|R200|BASE,final_full/baselines,ctgan,error,B,R200,BASE,full,completed,14000,16000,2000,0,2a94b858d2682099566d5923546b6a20c95bb837a79f1d855e5add875f6ba53f
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\error\B\R500\BASE\generated_payloads.csv,final_full/baselines/ctgan/error/B/R500/BASE/generated_payloads.csv,final_full/baselines|ctgan|error|B|R500|BASE,final_full/baselines,ctgan,error,B,R500,BASE,full,completed,16000,18000,2000,0,cba16195b052a9e5b00eb5ca345141f25fe0b4bed79006f182d92cf38f5ddcc0
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\final_full\baselines\ctgan\error\D\R100\BASE\generated_payloads.csv,final_full/baselines/ctgan/error/D/R100/BASE/generated_payloads.csv,final_full/baselines|ctgan|error|D|R100|BASE,final_full/baselines,ctgan,error,D,R100,BASE,full,completed,18000,20000,2000,0,49e657bb60d3992f9c4ff7657949c27841d0e7456bfd06b891e0738bc36ab70b
