relative_path,size_bytes,sha256
_combined_export/artifact_inventory.csv,676,e6d32206039ae7b5226b6e20fbf377eea4f708d854d0e48e2ea59be8269316e8
_combined_export/bundle_manifest.json,681,4f91855a166ffb57fb1de3e820a8a8f32658ba492e6f9d879b2e6a23539038c3
_combined_export/combined_run_results.csv,260651,27166a424c746d123cfe475a608dd242a9e0ff6b705fb4855bae186fa41d4c31
_combined_export/combined_scheduler_results.csv,21910,063bd833a678f8f0bccf219298d55b22f057a296e8d165f36cba10552ca8eb6f
_control_logs/01_prepare_data.log,67,3d6969eaf8bed752680c02bcca0ab7d874c774bac95145cf2d9d08bdf3ee9225
_control_logs/02_matrix_phase1.log,117,f92b2b00a20644a03db99c52cefcc49dfe78e36c93fe96182d29c580591931ed
_control_logs/03_preflight_phase2a.log,4298,233d1c2dc96d4c22e93c4c1f2f59fa3247f2eed1572932b17eddff5c01c7053f
_control_logs/04_matrix_phase2a.log,120,c933e6d60208fc9fc5e08f5272b6445b9db4e11b1c75bd662d9d1d820eba7b52
_run_metadata/environment.json,335,26e4850333a790954b6b5fa2dfca2ae0c47d13ff79f758e0dfc6cb85672727a4
_run_metadata/runtime_config.yaml,2771,ab461b5db682781b3a477b4d7a83d139e940df8063dc2bb766a9c75e1d26ee4b
_scheduler_audit/phase1/scheduler_results.csv,844,f19980fd07c8f8227f3e64ef1899c17909da855b029ccdef904861e8e08c1de4
_scheduler_audit/phase1/selected_matrix.csv,5134,7f1aba19682bedad0db964a56b6c3368b20977d0d939510ede5c584ef2e78c5a
_scheduler_audit/phase2a/scheduler_results.csv,17637,d298d7431befdebf89f8dd7d24a5b5204ef1360d066f222a389ca9c934950eeb
_scheduler_audit/phase2a/selected_matrix.csv,121918,c24b0ded791a9023fd98d0e3cb198b20879b61c9684db974f2bba5d5b05db22f
phase1/ctgan/all/raw/Rfull/critic.pt,2193097,22fadc019d9456541afb200d03ec7890df4f9eac1775ba1b19aa7fa58984e69e
phase1/ctgan/all/raw/Rfull/generated_feature_vectors.csv,45189,a7071b14399211b9907d5cf786649268cf113f238666e9ee0bd8095660845edb
phase1/ctgan/all/raw/Rfull/generated_payloads.csv,38259,06dac4200b9d55ca0556405d363bc992238adbad88198172be33bc48946c5e18
phase1/ctgan/all/raw/Rfull/generated_payloads.txt,22353,8e21720caa10c5a02e20f86daea6131886580cd2926f62edf76d84413ccde4d9
phase1/ctgan/all/raw/Rfull/generator.pt,1069579,c377782a4b772d6b258d1a169d25b224468bc87d43160a13d56c24a9b3cee820
phase1/ctgan/all/raw/Rfull/logs/quality.log,2892,723d8a998789f630bfea55ab2114bdb2bedb8d02f890ae1ec602d85eab78505d
phase1/ctgan/all/raw/Rfull/logs/rf.log,143,33e69490455b8acb18d5e36ffd0a4015b813fbbdcd2367b43081dad584d76d16
phase1/ctgan/all/raw/Rfull/logs/train.log,5549,4edfc40db640f033adb3a33c5cbbfbd280b0413b4f6c21cc3ff89f7451bf0821
phase1/ctgan/all/raw/Rfull/quality_metrics.json,2891,0dbe50197f88b27ec54cce40c720ab16b863ad137b479690adfa39a8c5086fe9
phase1/ctgan/all/raw/Rfull/rf_metrics.json,1479,b3e2d96473ea3d99e2e30333013a98783ea9cdc239a0a1b94ac892a15b3df4b2
phase1/ctgan/all/raw/Rfull/run_manifest.json,2739,a86edfc7866cb1655cc30f806f1c18a189ff4e214351de6f705a630e8d4d965f
phase1/ctgan/all/raw/Rfull/training_history.csv,1060,c83404b507bdf6d258771f0f0063ab3077f073b7c1baf3ac25382e4c9ba10668
phase1/ctgan/all/raw/Rfull/training_metadata.json,783,3366e74dc0936ca417ea7e17139536ec2b73da075975d155e3dbeff6e64b7159
phase1/gan/all/raw/Rfull/generated_feature_vectors.csv,388734,1112eff3cb2f134e330237c41e94f4b138cb66555c7438ede5d5fa889fc60315
phase1/gan/all/raw/Rfull/generated_payloads.csv,36916,eb51088da325ab3483eabb54cb9b30ce17103da983f6b73aa5f84fa5f43c123c
phase1/gan/all/raw/Rfull/generated_payloads.txt,21193,27104ca334e7385e462dfc092eeb87c1fa53b06ad01bbc9fdc9c355a645d7dc4
phase1/gan/all/raw/Rfull/generator_all.pt,47005,53497a4e21c872495fb1191cba8941de7b326515f193acb9da9d14a7997e9278
phase1/gan/all/raw/Rfull/logs/quality.log,2858,05b6c4ae7b97399fa9c78089fade549139a7859d5b4b594454da3338d2ac585c
phase1/gan/all/raw/Rfull/logs/rf.log,141,77bc576f511c4289fe5ff303e9a1954c9fcd00a9dbf04f801383438f8666d607
phase1/gan/all/raw/Rfull/logs/train.log,127,d1a76b117e08a8cf0d2aaf25bff03a968f379407773b2f4061beda5a6d6ff5a1
phase1/gan/all/raw/Rfull/quality_metrics.json,2857,6f4656c59440f2bf80cc7be2a4e8aa2899a8b6adc3c5b0e0f25ecf36d87f1abf
phase1/gan/all/raw/Rfull/rf_metrics.json,1307,b6337c61a82a4e91f11243c79f4ed1a3019342b567d8f09b3676ef8c7a1b2d5f
phase1/gan/all/raw/Rfull/run_manifest.json,2763,48aaa9c9d6ae54b4893881bb1c0930f2db7d3ab878019001e57e8b444329d69d
phase1/gan/all/raw/Rfull/scaler.joblib,2727,2acf49db27318213dcf1921ebc890da4c3e980d9fc289ed71a236a7229d39071
phase1/gan/all/raw/Rfull/training_metadata.json,800,cc45a31ae324ab4ed4467aca4acc8992071f9034dd5a19a8ab5d6c4ee4ffec3c
