run_id,family,scenario,ratio,variant_id,returncode,status,out_dir,local_ckpt_dir,drive_ckpt_dir,drive_checkpoint_count,resumed,stop_reason,adv_epochs_completed
phase2b__seqgan_improved__boolean__E__R100__V2_B6X,boolean,E,100,V2_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/boolean/E/R100/V2_B6X,/content/checkpoints_rerun_13/boolean_E_R100_V2_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/boolean_E_R100_V2_B6X,4,True,completed,40
phase2b__seqgan_improved__time__D__R100__V8_B6X,time,D,100,V8_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/time/D/R100/V8_B6X,/content/checkpoints_rerun_13/time_D_R100_V8_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/time_D_R100_V8_B6X,4,True,completed,30
phase2b__seqgan_improved__union__D__R100__V2_B6X,union,D,100,V2_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/union/D/R100/V2_B6X,/content/checkpoints_rerun_13/union_D_R100_V2_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/union_D_R100_V2_B6X,4,True,completed,40
phase2b__seqgan_improved__union__D__R200__V2_B6X,union,D,200,V2_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/union/D/R200/V2_B6X,/content/checkpoints_rerun_13/union_D_R200_V2_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/union_D_R200_V2_B6X,4,True,completed,40
phase2b__seqgan_improved__boolean__D__R500__V8_B6X,boolean,D,500,V8_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/boolean/D/R500/V8_B6X,/content/checkpoints_rerun_13/boolean_D_R500_V8_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/boolean_D_R500_V8_B6X,4,True,completed,40
phase2b__seqgan_improved__boolean__E__R500__V2_B6X,boolean,E,500,V2_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/boolean/E/R500/V2_B6X,/content/checkpoints_rerun_13/boolean_E_R500_V2_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/boolean_E_R500_V2_B6X,4,True,completed,40
phase2b__seqgan_improved__error__B__R500__V8_B6X,error,B,500,V8_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/error/B/R500/V8_B6X,/content/checkpoints_rerun_13/error_B_R500_V8_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/error_B_R500_V8_B6X,4,True,completed,40
phase2b__seqgan_improved__error__D__R500__V4_B6X,error,D,500,V4_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/error/D/R500/V4_B6X,/content/checkpoints_rerun_13/error_D_R500_V4_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/error_D_R500_V4_B6X,4,True,completed,30
phase2b__seqgan_improved__error__D__R500__V8_B6X,error,D,500,V8_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/error/D/R500/V8_B6X,/content/checkpoints_rerun_13/error_D_R500_V8_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/error_D_R500_V8_B6X,4,True,completed,30
phase2b__seqgan_improved__time__A__R500__V8_B6X,time,A,500,V8_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/time/A/R500/V8_B6X,/content/checkpoints_rerun_13/time_A_R500_V8_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/time_A_R500_V8_B6X,4,True,completed,40
phase2b__seqgan_improved__time__D__R500__V8_B6X,time,D,500,V8_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/time/D/R500/V8_B6X,/content/checkpoints_rerun_13/time_D_R500_V8_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/time_D_R500_V8_B6X,4,True,completed,30
phase2b__seqgan_improved__union__D__R500__V2_B6X,union,D,500,V2_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/union/D/R500/V2_B6X,/content/checkpoints_rerun_13/union_D_R500_V2_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/union_D_R500_V2_B6X,4,True,completed,40
phase2b__seqgan_improved__union__D__R500__V8_B6X,union,D,500,V8_B6X,0,OK,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/union/D/R500/V8_B6X,/content/checkpoints_rerun_13/union_D_R500_V8_B6X,/content/drive/MyDrive/GAN/GAN_for_SQLi/result/phase2b_batch6x/_checkpoints_rerun_13/union_D_R500_V8_B6X,4,True,completed,40
