probe_index,source_row,method,payload,url,status,blocked,outcome,request_sent,url_length,latency_ms,attempts,error
0,4140,GET,"1""   )    )    and 3",http://localhost:18080/?payload=1%22+++%29++++%29++++and+3,403,True,blocked,True,58,2109.594,1,
1,4140,POST,"1""   )    )    and 3",http://localhost:18080/,403,True,blocked,True,23,2099.116,1,
2,3081,GET,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   ||'",http://localhost:18080/?payload=call+regexp_substring++%28++repeat++%28++right++%28++char++%28++3702++%29++%2C0++%29++%2C500000000++%29++%2Cnull+++%29++++%29+++%7C%7C%27,200,False,bypass,True,169,2102.267,1,
3,3081,POST,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   ||'",http://localhost:18080/,200,False,bypass,True,23,2110.579,1,
4,41,GET,"1'   )    )    as kfnt where 8090  =  8090 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",http://localhost:18080/?payload=1%27+++%29++++%29++++as+kfnt+where+8090++%3D++8090+procedure+analyse++%28++extractvalue++%28++9255%2Cconcat++%28++0x5c%2C++%28++benchmark++%28++5000000%2Cmd5++%28++0x52515a50+++%29++++%29++++++%29++++%29+++++%29++%2C1++%29++--,403,True,blocked,True,258,2098.364,1,
5,41,POST,"1'   )    )    as kfnt where 8090  =  8090 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",http://localhost:18080/,403,True,blocked,True,23,2089.003,1,
6,797,GET,"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--",http://localhost:18080/?payload=select+dbms_pipe.receive_message++%28++chr++%28++112++%29++%7C%7Cchr++%28++70++%29++%7C%7Cchr++%28++106++%29++%7C%7Cchr++%28++78++%29++%2C5++%29+++from+dual--,403,True,blocked,True,190,2098.293,1,
7,797,POST,"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--",http://localhost:18080/,403,True,blocked,True,23,2099.073,1,
8,1193,GET,"-8034""  )   where 1292  =  1292 union all select 1292,1292,1292,1292,1292#",http://localhost:18080/?payload=-8034%22++%29+++where+1292++%3D++1292+union+all+select+1292%2C1292%2C1292%2C1292%2C1292%23,403,True,blocked,True,122,7.173,1,
9,1193,POST,"-8034""  )   where 1292  =  1292 union all select 1292,1292,1292,1292,1292#",http://localhost:18080/,403,True,blocked,True,23,9.511,1,
10,3927,GET,1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,http://localhost:18080/?payload=1%27+++%29++++%29++++or+sleep++%28++5++%29+++and++++%28++++%28+++%27uzhd%27+like+%27uzhd,403,True,blocked,True,120,7.847,1,
11,3927,POST,1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,http://localhost:18080/,403,True,blocked,True,23,8.528,1,
12,2647,GET,"1'+  (  select lhho where 7579  =  7579 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",http://localhost:18080/?payload=1%27%2B++%28++select+lhho+where+7579++%3D++7579+and+char++%28++109++%29++%7C%7Cchar++%28++79++%29++%7C%7Cchar++%28++70++%29++%7C%7Cchar++%28++90++%29++++%3D++regexp_substring++%28++repeat++%28++right++%28++char++%28++5012++%29++%2C0++%29++%2C5000000000++%29++%2Cnull++%29++--,403,True,blocked,True,307,10.504,1,
13,2647,POST,"1'+  (  select lhho where 7579  =  7579 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",http://localhost:18080/,403,True,blocked,True,23,12.973,1,
14,2005,GET,"1   )    )    as spdf where 8554  =  8554 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",http://localhost:18080/?payload=1+++%29++++%29++++as+spdf+where+8554++%3D++8554+or+2633++%3D++dbms_pipe.receive_message++%28++chr++%28++112++%29++%7C%7Cchr++%28++65++%29++%7C%7Cchr++%28++65++%29++%7C%7Cchr++%28++103++%29++%2C5++%29++--,403,True,blocked,True,235,8.786,1,
15,2005,POST,"1   )    )    as spdf where 8554  =  8554 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",http://localhost:18080/,403,True,blocked,True,23,7.014,1,
16,2088,GET,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (     (  'aatp'  =  'aatp",http://localhost:18080/?payload=select+dbms_pipe.receive_message++%28++chr++%28++66++%29++%7C%7Cchr++%28++67++%29++%7C%7Cchr++%28++79++%29++%7C%7Cchr++%28++101++%29++%2C5++%29+++from+dual+and++++%28++++%28+++++%28++%27aatp%27++%3D++%27aatp,403,True,blocked,True,239,5.623,1,
