probe_index,source_row,method,payload,url,status,blocked,outcome,request_sent,url_length,latency_ms,attempts,error,audit_rule_ids,audit_transaction_ids,audit_messages,audit_files
0,4140,GET,"1""   )    )    and 3",http://localhost:18080/?payload=1%22+++%29++++%29++++and+3,403,True,blocked,True,58,2109.594,1,,942100|949110,178457058243.829229,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058243.829229
1,4140,POST,"1""   )    )    and 3",http://localhost:18080/,403,True,blocked,True,23,2099.116,1,,942100|949110,17845705824.525847,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-17845705824.525847
2,3081,GET,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   ||'",http://localhost:18080/?payload=call+regexp_substring++%28++repeat++%28++right++%28++char++%28++3702++%29++%2C0++%29++%2C500000000++%29++%2Cnull+++%29++++%29+++%7C%7C%27,200,False,bypass,True,169,2102.267,1,,,178457058285.763108,[],transactions/20260720/20260720-1803/20260720-180302-178457058285.763108
3,3081,POST,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   ||'",http://localhost:18080/,200,False,bypass,True,23,2110.579,1,,,178457058224.075673,[],transactions/20260720/20260720-1803/20260720-180302-178457058224.075673
4,41,GET,"1'   )    )    as kfnt where 8090  =  8090 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",http://localhost:18080/?payload=1%27+++%29++++%29++++as+kfnt+where+8090++%3D++8090+procedure+analyse++%28++extractvalue++%28++9255%2Cconcat++%28++0x5c%2C++%28++benchmark++%28++5000000%2Cmd5++%28++0x52515a50+++%29++++%29++++++%29++++%29+++++%29++%2C1++%29++--,403,True,blocked,True,258,2098.364,1,,933160|942100|942151|942160|942320|949110,178457058223.613482,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Detects MySQL and PostgreSQL stored procedure/function injections"", ""Inbound Anomaly Score Exceeded (Total Score: 25)""]",transactions/20260720/20260720-1803/20260720-180302-178457058223.613482
5,41,POST,"1'   )    )    as kfnt where 8090  =  8090 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",http://localhost:18080/,403,True,blocked,True,23,2089.003,1,,933160|942100|942151|942160|942320|949110,178457058291.565914,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Detects MySQL and PostgreSQL stored procedure/function injections"", ""Inbound Anomaly Score Exceeded (Total Score: 25)""]",transactions/20260720/20260720-1803/20260720-180302-178457058291.565914
6,797,GET,"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--",http://localhost:18080/?payload=select+dbms_pipe.receive_message++%28++chr++%28++112++%29++%7C%7Cchr++%28++70++%29++%7C%7Cchr++%28++106++%29++%7C%7Cchr++%28++78++%29++%2C5++%29+++from+dual--,403,True,blocked,True,190,2098.293,1,,933160|942100|949110,178457058253.739285,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058253.739285
7,797,POST,"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--",http://localhost:18080/,403,True,blocked,True,23,2099.073,1,,933160|942100|949110,178457058282.868577,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058282.868577
8,1193,GET,"-8034""  )   where 1292  =  1292 union all select 1292,1292,1292,1292,1292#",http://localhost:18080/?payload=-8034%22++%29+++where+1292++%3D++1292+union+all+select+1292%2C1292%2C1292%2C1292%2C1292%23,403,True,blocked,True,122,7.173,1,,942100|942190|949110,17845705827.323872,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-17845705827.323872
9,1193,POST,"-8034""  )   where 1292  =  1292 union all select 1292,1292,1292,1292,1292#",http://localhost:18080/,403,True,blocked,True,23,9.511,1,,942100|942190|949110,17845705824.947348,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-17845705824.947348
