probe_index,source_row,transaction_id,http_status,rule_ids,messages,audit_file,audit_bytes,parse_error
,,178457054360.744537,200,,[],transactions/20260720/20260720-1802/20260720-180223-178457054360.744537,808,
,,178457057370.202653,200,,[],transactions/20260720/20260720-1802/20260720-180253-178457057370.202653,808,
10,3927,17845705822.077600,403,942100|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-17845705822.077600,3140,
24,4577,17845705822.757876,403,933160|942100|942151|942160|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 20)""]",transactions/20260720/20260720-1803/20260720-180302-17845705822.757876,5237,
42,720,178457058222.401164,403,933160|942100|942151|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058222.401164,5178,
4,41,178457058223.613482,403,933160|942100|942151|942160|942320|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Detects MySQL and PostgreSQL stored procedure/function injections"", ""Inbound Anomaly Score Exceeded (Total Score: 25)""]",transactions/20260720/20260720-1803/20260720-180302-178457058223.613482,7219,
3,3081,178457058224.075673,200,,[],transactions/20260720/20260720-1803/20260720-180302-178457058224.075673,1054,
27,4396,178457058227.241233,200,,[],transactions/20260720/20260720-1803/20260720-180302-178457058227.241233,1054,
23,793,178457058229.325487,403,933160|942100|942230|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058229.325487,5254,
18,716,178457058232.677057,403,933160|942100|942151|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058232.677057,5034,
26,4396,178457058232.806719,200,,[],transactions/20260720/20260720-1803/20260720-180302-178457058232.806719,998,
33,1270,178457058234.817719,403,942100|942190|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058234.817719,4372,
12,2647,178457058235.111372,403,942100|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack Detected via libinjection"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058235.111372,4647,
32,1270,178457058235.269911,403,942100|942190|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058235.269911,4370,
45,1780,178457058236.962906,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058236.962906,2235,
1,4140,17845705824.525847,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-17845705824.525847,2219,
9,1193,17845705824.947348,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-17845705824.947348,3358,
34,462,178457058242.277593,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058242.277593,2207,
0,4140,178457058243.829229,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058243.829229,2165,
44,1780,178457058245.447832,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058245.447832,2192,
17,2088,178457058245.613347,403,933160|942100|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058245.613347,3522,
20,1338,178457058247.035020,403,942100|942151|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058247.035020,3171,
43,720,17845705825.506083,403,933160|942100|942151|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-17845705825.506083,4975,
37,1293,178457058251.657557,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058251.657557,3381,
25,4577,178457058252.071077,403,933160|942100|942151|942160|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 20)""]",transactions/20260720/20260720-1803/20260720-180302-178457058252.071077,5231,
6,797,178457058253.739285,403,933160|942100|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058253.739285,3526,
40,2934,178457058253.876332,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058253.876332,2412,
28,3109,178457058258.692068,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058258.692068,2204,
