phase,run_id,method,family,scenario,ratio,return_code,started_at,ended_at,elapsed_seconds,shard_matrix,scheduler_log,scheduler_result_source
phase1,phase1__ctgan__all__raw__Rfull,ctgan,all,raw,full,0,2026-07-14T01:21:19.894574+00:00,2026-07-14T01:26:46.132869+00:00,326.238,/content/parallel_shards_cpu20/phase1/shard_0000.csv,/content/parallel_shards_cpu20/phase1/shard_0000_ctgan.log,_scheduler_audit/phase1/scheduler_results.csv
phase1,phase1__gan__all__raw__Rfull,gan,all,raw,full,0,2026-07-14T01:21:19.893727+00:00,2026-07-14T01:22:54.610759+00:00,94.717,/content/parallel_shards_cpu20/phase1/shard_0001.csv,/content/parallel_shards_cpu20/phase1/shard_0001_gan.log,_scheduler_audit/phase1/scheduler_results.csv
phase1,phase1__smote__all__raw__Rfull,smote,all,raw,full,0,2026-07-14T01:21:19.898059+00:00,2026-07-14T01:22:14.988716+00:00,55.091,/content/parallel_shards_cpu20/phase1/shard_0002.csv,/content/parallel_shards_cpu20/phase1/shard_0002_smote.log,_scheduler_audit/phase1/scheduler_results.csv
phase2a,phase2a__ctgan__boolean__A__R50,ctgan,boolean,A,50,0,2026-07-14T01:26:48.082145+00:00,2026-07-14T01:36:28.975440+00:00,580.893,/content/parallel_shards_cpu20/phase2a/shard_0000.csv,/content/parallel_shards_cpu20/phase2a/shard_0000_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__boolean__B__R50,ctgan,boolean,B,50,0,2026-07-14T01:26:48.081601+00:00,2026-07-14T01:35:40.449065+00:00,532.368,/content/parallel_shards_cpu20/phase2a/shard_0001.csv,/content/parallel_shards_cpu20/phase2a/shard_0001_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__boolean__C__R50,ctgan,boolean,C,50,0,2026-07-14T01:26:48.091278+00:00,2026-07-14T01:36:30.620460+00:00,582.529,/content/parallel_shards_cpu20/phase2a/shard_0002.csv,/content/parallel_shards_cpu20/phase2a/shard_0002_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__boolean__D__R50,ctgan,boolean,D,50,0,2026-07-14T01:26:48.122043+00:00,2026-07-14T01:36:17.926986+00:00,569.805,/content/parallel_shards_cpu20/phase2a/shard_0003.csv,/content/parallel_shards_cpu20/phase2a/shard_0003_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__boolean__E__R50,ctgan,boolean,E,50,0,2026-07-14T01:26:48.107175+00:00,2026-07-14T01:36:33.945946+00:00,585.839,/content/parallel_shards_cpu20/phase2a/shard_0004.csv,/content/parallel_shards_cpu20/phase2a/shard_0004_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__boolean__F__R50,ctgan,boolean,F,50,0,2026-07-14T01:26:48.112161+00:00,2026-07-14T01:36:19.383909+00:00,571.272,/content/parallel_shards_cpu20/phase2a/shard_0005.csv,/content/parallel_shards_cpu20/phase2a/shard_0005_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__error__A__R50,ctgan,error,A,50,0,2026-07-14T01:26:48.123066+00:00,2026-07-14T01:36:36.879774+00:00,588.757,/content/parallel_shards_cpu20/phase2a/shard_0006.csv,/content/parallel_shards_cpu20/phase2a/shard_0006_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__error__B__R50,ctgan,error,B,50,0,2026-07-14T01:26:48.127137+00:00,2026-07-14T01:36:19.045832+00:00,570.919,/content/parallel_shards_cpu20/phase2a/shard_0007.csv,/content/parallel_shards_cpu20/phase2a/shard_0007_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__error__C__R50,ctgan,error,C,50,0,2026-07-14T01:26:48.130961+00:00,2026-07-14T01:36:23.319332+00:00,575.188,/content/parallel_shards_cpu20/phase2a/shard_0008.csv,/content/parallel_shards_cpu20/phase2a/shard_0008_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__error__D__R50,ctgan,error,D,50,0,2026-07-14T01:26:48.134154+00:00,2026-07-14T01:36:33.886417+00:00,585.752,/content/parallel_shards_cpu20/phase2a/shard_0009.csv,/content/parallel_shards_cpu20/phase2a/shard_0009_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__error__E__R50,ctgan,error,E,50,0,2026-07-14T01:26:48.143207+00:00,2026-07-14T01:36:34.849583+00:00,586.706,/content/parallel_shards_cpu20/phase2a/shard_0010.csv,/content/parallel_shards_cpu20/phase2a/shard_0010_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__error__F__R50,ctgan,error,F,50,0,2026-07-14T01:26:48.144600+00:00,2026-07-14T01:36:34.603729+00:00,586.459,/content/parallel_shards_cpu20/phase2a/shard_0011.csv,/content/parallel_shards_cpu20/phase2a/shard_0011_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__time__A__R50,ctgan,time,A,50,0,2026-07-14T01:26:48.149118+00:00,2026-07-14T01:36:21.618457+00:00,573.469,/content/parallel_shards_cpu20/phase2a/shard_0012.csv,/content/parallel_shards_cpu20/phase2a/shard_0012_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__time__B__R50,ctgan,time,B,50,0,2026-07-14T01:26:48.152201+00:00,2026-07-14T01:35:46.007751+00:00,537.856,/content/parallel_shards_cpu20/phase2a/shard_0013.csv,/content/parallel_shards_cpu20/phase2a/shard_0013_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__time__C__R50,ctgan,time,C,50,0,2026-07-14T01:26:48.155105+00:00,2026-07-14T01:36:14.144725+00:00,565.99,/content/parallel_shards_cpu20/phase2a/shard_0014.csv,/content/parallel_shards_cpu20/phase2a/shard_0014_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__time__D__R50,ctgan,time,D,50,0,2026-07-14T01:26:48.169263+00:00,2026-07-14T01:35:54.210262+00:00,546.041,/content/parallel_shards_cpu20/phase2a/shard_0015.csv,/content/parallel_shards_cpu20/phase2a/shard_0015_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__time__E__R50,ctgan,time,E,50,0,2026-07-14T01:26:48.175233+00:00,2026-07-14T01:36:15.194769+00:00,567.02,/content/parallel_shards_cpu20/phase2a/shard_0016.csv,/content/parallel_shards_cpu20/phase2a/shard_0016_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__time__F__R50,ctgan,time,F,50,0,2026-07-14T01:26:48.178135+00:00,2026-07-14T01:36:15.586275+00:00,567.408,/content/parallel_shards_cpu20/phase2a/shard_0017.csv,/content/parallel_shards_cpu20/phase2a/shard_0017_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__union__A__R50,ctgan,union,A,50,0,2026-07-14T01:26:48.189274+00:00,2026-07-14T01:36:21.663722+00:00,573.474,/content/parallel_shards_cpu20/phase2a/shard_0018.csv,/content/parallel_shards_cpu20/phase2a/shard_0018_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__union__B__R50,ctgan,union,B,50,0,2026-07-14T01:26:48.197248+00:00,2026-07-14T01:35:50.549784+00:00,542.353,/content/parallel_shards_cpu20/phase2a/shard_0019.csv,/content/parallel_shards_cpu20/phase2a/shard_0019_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__union__C__R50,ctgan,union,C,50,0,2026-07-14T01:35:40.455262+00:00,2026-07-14T01:45:22.901975+00:00,582.447,/content/parallel_shards_cpu20/phase2a/shard_0020.csv,/content/parallel_shards_cpu20/phase2a/shard_0020_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__union__D__R50,ctgan,union,D,50,0,2026-07-14T01:35:46.008434+00:00,2026-07-14T01:45:20.790895+00:00,574.782,/content/parallel_shards_cpu20/phase2a/shard_0021.csv,/content/parallel_shards_cpu20/phase2a/shard_0021_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__union__E__R50,ctgan,union,E,50,0,2026-07-14T01:35:50.550511+00:00,2026-07-14T01:45:28.643592+00:00,578.093,/content/parallel_shards_cpu20/phase2a/shard_0022.csv,/content/parallel_shards_cpu20/phase2a/shard_0022_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__ctgan__union__F__R50,ctgan,union,F,50,0,2026-07-14T01:35:54.211205+00:00,2026-07-14T01:45:30.520704+00:00,576.31,/content/parallel_shards_cpu20/phase2a/shard_0023.csv,/content/parallel_shards_cpu20/phase2a/shard_0023_ctgan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__boolean__A__R50,gan,boolean,A,50,0,2026-07-14T01:36:14.146201+00:00,2026-07-14T01:41:08.545715+00:00,294.4,/content/parallel_shards_cpu20/phase2a/shard_0024.csv,/content/parallel_shards_cpu20/phase2a/shard_0024_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__boolean__B__R50,gan,boolean,B,50,0,2026-07-14T01:36:15.195482+00:00,2026-07-14T01:41:02.747223+00:00,287.552,/content/parallel_shards_cpu20/phase2a/shard_0025.csv,/content/parallel_shards_cpu20/phase2a/shard_0025_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__boolean__C__R50,gan,boolean,C,50,0,2026-07-14T01:36:15.586933+00:00,2026-07-14T01:41:35.964718+00:00,320.378,/content/parallel_shards_cpu20/phase2a/shard_0026.csv,/content/parallel_shards_cpu20/phase2a/shard_0026_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__boolean__D__R50,gan,boolean,D,50,0,2026-07-14T01:36:17.929560+00:00,2026-07-14T01:41:13.712557+00:00,295.783,/content/parallel_shards_cpu20/phase2a/shard_0027.csv,/content/parallel_shards_cpu20/phase2a/shard_0027_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__boolean__E__R50,gan,boolean,E,50,0,2026-07-14T01:36:19.046474+00:00,2026-07-14T01:41:18.580033+00:00,299.534,/content/parallel_shards_cpu20/phase2a/shard_0028.csv,/content/parallel_shards_cpu20/phase2a/shard_0028_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__boolean__F__R50,gan,boolean,F,50,0,2026-07-14T01:36:19.387037+00:00,2026-07-14T01:41:07.758947+00:00,288.372,/content/parallel_shards_cpu20/phase2a/shard_0029.csv,/content/parallel_shards_cpu20/phase2a/shard_0029_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__error__A__R50,gan,error,A,50,0,2026-07-14T01:36:21.619282+00:00,2026-07-14T01:41:28.214135+00:00,306.595,/content/parallel_shards_cpu20/phase2a/shard_0030.csv,/content/parallel_shards_cpu20/phase2a/shard_0030_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__error__B__R50,gan,error,B,50,0,2026-07-14T01:36:21.664383+00:00,2026-07-14T01:41:28.160038+00:00,306.496,/content/parallel_shards_cpu20/phase2a/shard_0031.csv,/content/parallel_shards_cpu20/phase2a/shard_0031_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__error__C__R50,gan,error,C,50,0,2026-07-14T01:36:23.320032+00:00,2026-07-14T01:41:19.138747+00:00,295.819,/content/parallel_shards_cpu20/phase2a/shard_0032.csv,/content/parallel_shards_cpu20/phase2a/shard_0032_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__error__D__R50,gan,error,D,50,0,2026-07-14T01:36:28.976151+00:00,2026-07-14T01:41:42.581708+00:00,313.606,/content/parallel_shards_cpu20/phase2a/shard_0033.csv,/content/parallel_shards_cpu20/phase2a/shard_0033_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
