elapsed_seconds,allowed_concurrency,running,pending,cpu_percent,ram_percent,gpu_util_percent,gpu_memory_percent,gpu_memory_used_mb,gpu_memory_total_mb
0.0,100,0,49,0.3,1.7,0.0,0.00732421875,6.0,81920.0
43.6,100,46,0,99.7,20.4,99.0,16.190185546875,13263.0,81920.0
65.2,100,46,0,100.0,22.8,99.0,25.682373046875,21039.0,81920.0
82.1,100,46,0,99.7,31.9,99.0,37.65380859375,30846.0,81920.0
97.5,100,46,0,100.0,34.8,99.0,40.5859375,33248.0,81920.0
113.0,100,46,0,100.0,35.9,99.0,41.23046875,33776.0,81920.0
128.5,100,46,0,100.0,36.7,99.0,41.845703125,34280.0,81920.0
144.0,100,46,0,100.0,37.3,99.0,42.45361328125,34778.0,81920.0
159.3,100,46,0,100.0,37.8,99.0,43.0517578125,35268.0,81920.0
174.8,100,46,0,100.0,38.5,100.0,43.35205078125,35514.0,81920.0
190.3,100,46,0,100.0,38.7,100.0,43.64990234375,35758.0,81920.0
205.7,100,46,0,100.0,39.0,100.0,44.24072265625,36242.0,81920.0
221.1,100,46,0,100.0,39.1,100.0,44.24560546875,36246.0,81920.0
236.5,100,46,0,100.0,39.1,100.0,44.24560546875,36246.0,81920.0
252.0,100,46,0,100.0,39.1,100.0,44.24560546875,36246.0,81920.0
267.5,100,46,0,100.0,37.6,100.0,42.236328125,34600.0,81920.0
283.0,100,46,0,100.0,37.7,100.0,42.236328125,34600.0,81920.0
298.5,100,46,0,100.0,37.6,100.0,42.236328125,34600.0,81920.0
313.9,100,44,0,100.0,37.6,99.0,42.24365234375,34606.0,81920.0
329.4,100,44,0,100.0,37.6,100.0,42.24365234375,34606.0,81920.0
344.8,100,44,0,100.0,37.7,100.0,42.24365234375,34606.0,81920.0
360.2,100,44,0,100.0,37.7,100.0,42.24365234375,34606.0,81920.0
375.6,100,44,0,100.0,37.7,100.0,42.24609375,34608.0,81920.0
391.0,100,44,0,100.0,37.7,100.0,42.24609375,34608.0,81920.0
406.4,100,44,0,100.0,35.3,100.0,39.22607421875,32134.0,81920.0
422.0,100,44,0,100.0,33.9,99.0,37.20947265625,30482.0,81920.0
437.4,100,44,0,100.0,34.0,100.0,37.20947265625,30482.0,81920.0
453.0,100,43,0,100.0,33.7,99.0,37.20947265625,30482.0,81920.0
468.4,100,40,0,100.0,33.6,100.0,37.20947265625,30482.0,81920.0
483.8,100,39,0,100.0,32.8,99.0,36.204833984375,29659.0,81920.0
499.3,100,39,0,100.0,33.0,99.0,36.204833984375,29659.0,81920.0
