elapsed_seconds,allowed_concurrency,running,pending,cpu_percent,ram_percent,gpu_util_percent,gpu_memory_percent,gpu_memory_used_mb,gpu_memory_total_mb
0.0,1,0,1,0.3,1.7,0.0,0.00732421875,6.0,81920.0
15.6,1,1,0,8.6,2.2,13.0,0.72021484375,590.0,81920.0
30.9,1,1,0,16.7,2.2,13.0,0.72021484375,590.0,81920.0
46.2,2,1,0,8.3,2.4,60.0,1.0107421875,828.0,81920.0
61.5,2,1,0,8.4,2.5,60.0,1.01318359375,830.0,81920.0
76.7,2,1,0,9.7,2.5,61.0,1.01318359375,830.0,81920.0
92.0,3,1,0,8.3,2.5,62.0,1.01318359375,830.0,81920.0
107.3,3,1,0,16.4,2.5,18.0,1.01318359375,830.0,81920.0
122.6,3,1,0,8.3,2.5,19.0,1.01318359375,830.0,81920.0
137.9,4,1,0,8.3,2.5,15.0,1.01318359375,830.0,81920.0
153.2,4,1,0,8.7,2.5,15.0,1.01318359375,830.0,81920.0
168.5,4,1,0,9.7,2.5,62.0,1.01318359375,830.0,81920.0
183.8,5,1,0,14.3,2.5,56.0,1.01318359375,830.0,81920.0
199.1,5,1,0,8.7,2.5,57.0,1.01318359375,830.0,81920.0
214.4,5,1,0,8.3,2.5,62.0,1.01318359375,830.0,81920.0
229.7,6,1,0,8.3,2.5,62.0,1.01318359375,830.0,81920.0
244.9,6,1,0,17.3,2.5,57.0,1.01318359375,830.0,81920.0
260.2,6,1,0,9.7,2.5,57.0,1.01318359375,830.0,81920.0
275.5,7,1,0,11.7,2.5,60.0,1.01318359375,830.0,81920.0
290.8,7,1,0,8.0,2.5,58.0,1.01318359375,830.0,81920.0
306.1,7,1,0,9.0,2.5,55.0,1.01318359375,830.0,81920.0
321.4,8,1,0,16.7,2.5,58.0,1.01318359375,830.0,81920.0
336.7,8,1,0,8.7,2.5,60.0,1.01318359375,830.0,81920.0
352.0,8,1,0,8.3,2.5,59.0,1.01318359375,830.0,81920.0
367.3,9,1,0,10.0,2.5,61.0,1.01318359375,830.0,81920.0
382.5,9,1,0,10.3,2.5,19.0,1.01318359375,830.0,81920.0
397.8,9,1,0,11.7,2.5,19.0,1.01318359375,830.0,81920.0
413.1,10,1,0,8.3,2.5,15.0,1.01318359375,830.0,81920.0
428.4,10,1,0,8.3,2.5,15.0,1.01318359375,830.0,81920.0
443.7,10,1,0,9.9,2.5,59.0,1.01318359375,830.0,81920.0
459.0,11,1,0,18.0,2.5,57.0,1.01318359375,830.0,81920.0
474.3,11,1,0,8.3,2.5,60.0,1.01318359375,830.0,81920.0
489.6,11,1,0,8.3,2.5,55.0,1.01318359375,830.0,81920.0
504.9,12,1,0,8.7,2.5,59.0,1.01318359375,830.0,81920.0
520.2,12,1,0,8.7,2.5,61.0,1.01318359375,830.0,81920.0
535.5,12,1,0,17.3,2.5,59.0,1.01318359375,830.0,81920.0
550.8,13,1,0,9.3,2.5,59.0,1.01318359375,830.0,81920.0
566.1,13,1,0,8.4,2.5,58.0,1.01318359375,830.0,81920.0
581.3,13,1,0,8.3,2.5,62.0,1.01318359375,830.0,81920.0
596.6,14,1,0,8.3,2.5,55.0,1.01318359375,830.0,81920.0
611.9,14,1,0,14.0,2.5,18.0,1.01318359375,830.0,81920.0
627.2,14,1,0,8.7,2.5,61.0,1.01318359375,830.0,81920.0
642.5,15,1,0,9.6,2.5,59.0,1.01318359375,830.0,81920.0
657.8,15,1,0,8.3,2.5,64.0,1.01318359375,830.0,81920.0
673.1,15,1,0,17.2,2.5,60.0,1.01318359375,830.0,81920.0
688.4,16,1,0,8.6,2.5,61.0,1.01318359375,830.0,81920.0
